"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.9920342	0.0415986	0.0900404	0.9853810	0.9463432	1.0000000	0.2352043	0.7982607	0.8805179	0.9990176
50	0.9920492	0.0415888	0.0900404	0.9853722	0.9409454	0.6661980	0.0915703	0.8117006	0.8805290	0.9992523
100	0.9920546	0.0415853	0.0900405	0.9852633	0.9242185	0.5785336	0.0643745	0.8464838	0.8805474	0.9993112
150	0.9920565	0.0415840	0.0900408	0.9849835	0.9056247	0.5555108	0.0695346	0.8733129	0.8805561	0.9993108
200	0.9920572	0.0415836	0.0900415	0.9846023	0.8918528	0.5494645	0.0795078	0.8842734	0.8805573	0.9992898
250	0.9920574	0.0415835	0.0900426	0.9842375	0.8838233	0.5478766	0.0868147	0.8853175	0.8805552	0.9992659
300	0.9920575	0.0415835	0.0900437	0.9839613	0.8797806	0.5474596	0.0909714	0.8828436	0.8805522	0.9992468
350	0.9920575	0.0415836	0.0900447	0.9837841	0.8779160	0.5473500	0.0930649	0.8801209	0.8805498	0.9992343
400	0.9920574	0.0415837	0.0900454	0.9836830	0.8770992	0.5473213	0.0940496	0.8781516	0.8805480	0.9992271
450	0.9920574	0.0415838	0.0900459	0.9836302	0.8767518	0.5473137	0.0944942	0.8769580	0.8805470	0.9992233
500	0.9920574	0.0415838	0.0900462	0.9836043	0.8766066	0.5473117	0.0946900	0.8763049	0.8805464	0.9992214
550	0.9920574	0.0415839	0.0900464	0.9836276	0.8921786	0.8811133	0.2790871	0.8542076	0.8805330	0.9989442
600	0.9920574	0.0415839	0.0900462	0.9839252	0.9188809	0.9687775	0.2824767	0.8133462	0.8805120	0.9988970
650	0.9920573	0.0415839	0.0900455	0.9844106	0.9342254	0.9918002	0.2622676	0.7921729	0.8805045	0.9989258
700	0.9920573	0.0415839	0.0900443	0.9848271	0.9411936	0.9978465	0.2484809	0.7876055	0.8805062	0.9989629
750	0.9920574	0.0415838	0.0900430	0.9850948	0.9441792	0.9994345	0.2413453	0.7896290	0.8805103	0.9989888
800	0.9920574	0.0415837	0.0900419	0.9852424	0.9454391	0.9998515	0.2379749	0.7927172	0.8805136	0.9990035
850	0.9920574	0.0415836	0.0900412	0.9853169	0.9459674	0.9999610	0.2364442	0.7950692	0.8805157	0.9990111
900	0.9920575	0.0415835	0.0900408	0.9853523	0.9461877	0.9999898	0.2357624	0.7965066	0.8805169	0.9990147
