"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.1427077	0.1011294	0.0953033	0.2183713	0.1786039	0.6747915	0.0866349	0.0118503	0.9477708	1.0448750
50	0.1358422	0.1085858	0.0531370	0.1349110	0.8267230	0.6489463	0.0536676	0.0184150	1.0283205	1.0298537
100	0.1082407	0.1502429	0.0365836	0.1397597	0.9131796	0.6214855	0.0548272	0.0090001	1.0515175	0.9709549
150	0.1501623	0.1370954	0.0502426	0.1274004	0.8715677	0.6251470	0.0638946	0.0074727	0.9671989	1.0647133
200	0.1371746	0.1408861	0.0476585	0.1079436	1.0008117	0.6841011	0.0669226	0.0000000	0.9322136	1.1020230
250	0.0968031	0.1209006	0.0368159	0.0902705	0.9011936	0.6218753	0.0394846	0.0038742	0.9640933	0.9400492
300	0.1047171	0.1119573	0.0260587	0.1030720	0.8856421	0.6590736	0.0804450	0.0023137	1.0193665	0.9895572
350	0.1032687	0.1210920	0.0319416	0.1184054	0.9861977	0.6174966	0.0424341	0.0020455	0.9997402	1.0694742
400	0.0959110	0.1089417	0.0256100	0.0940798	0.9457791	0.5876054	0.0488951	0.0038985	0.9476345	0.9972911
450	0.0990670	0.1379993	0.0385710	0.0981631	0.9471142	0.5987558	0.0921177	0.0162797	0.9984902	1.1231031
500	0.0925866	0.1224204	0.0212368	0.1278747	0.9176606	0.5905110	0.0485340	0.0152642	0.9566035	1.0125104
550	0.1034222	0.0933033	0.0297811	0.1269467	0.3817621	0.5878308	0.0668485	0.0072665	0.9562489	1.1245759
600	0.1450328	0.0959682	0.0296684	0.1011759	0.2493545	0.6616484	0.0597426	0.0080765	0.9810907	0.9309249
650	0.1092094	0.0756421	0.0323623	0.1600597	0.2756015	0.6098476	0.0454920	0.0059059	0.9835632	1.0854546
700	0.1050951	0.0673327	0.0485270	0.1578510	0.3134700	0.6056624	0.0608606	0.0037781	0.9723758	1.0286927
750	0.1533903	0.0693180	0.1531818	0.1930802	0.2520211	0.6257000	0.0619700	0.0110206	0.9626231	0.9943341
800	0.1481977	0.0695767	0.0727717	0.1871431	0.1949376	0.6367672	0.0526421	0.0105657	1.0094244	0.9496758
850	0.1740334	0.0768578	0.0902031	0.1695257	0.2727673	0.6239735	0.0396994	0.0096687	0.8954663	1.0308402
900	0.1639514	0.0679073	0.0954684	0.2184888	0.2323663	0.6577381	0.0736158	0.0113440	0.8905128	0.9004501
950	0.1681231	0.0765713	0.0520615	0.2233234	0.2707162	0.6763572	0.0791076	0.0105510	0.8606158	0.9059958
1000	0.1226051	0.0555216	0.0864693	0.2198180	0.2226753	0.5724387	0.0869803	0.0204527	0.9080866	0.9939844

0	0.1427077	0.1011294	0.0953033	0.2183713	0.1786039	0.6747915	0.0866349	0.0118503	0.9477708	1.0448750
50	0.6147286	0.0715202	0.1014477	0.1994294	0.2289782	0.8326294	0.0784433	0.0052447	0.7305557	0.9686531
100	0.7979642	0.0378017	0.1236036	0.1933032	0.3839046	0.9226467	0.0469867	0.0280986	0.6208737	1.0324418
150	0.7971642	0.0574571	0.0994164	0.1979811	0.4611898	0.9663481	0.0644493	0.0715676	0.5719467	0.9857822
200	0.6863755	0.0506352	0.1250854	0.1634520	0.5618659	0.9276955	0.0641140	0.2079815	0.5049423	1.0728410
250	0.7619044	0.0676588	0.0877886	0.1283198	0.4992805	1.0099227	0.0663360	0.2471695	0.5332019	1.0796234
300	0.7840166	0.0531358	0.0187148	0.0962728	0.5650945	1.0533325	0.0724078	0.2257943	0.5544075	1.0647704
350	0.7470600	0.0479471	0.0242140	0.1210072	0.5418416	1.0338353	0.0877909	0.2464783	0.6052233	1.0492285
400	0.8204530	0.0476564	0.0571255	0.1498824	0.6179162	1.0269696	0.0674173	0.2002043	0.5495729	1.0200712
450	0.6941808	0.0851496	0.0269109	0.1446078	0.5993629	0.9104435	0.0552851	0.1270009	0.5191228	1.0239338
500	0.7468990	0.0777409	0.0376678	0.1652034	0.5809150	0.9242565	0.0519018	0.1723004	0.5577950	1.0157498
550	0.3108188	0.0644698	0.0292978	0.1458874	0.5471893	0.7352936	0.0621934	0.1450800	0.8599116	0.9910150
600	0.1541834	0.0693323	0.0353469	0.1451505	0.4667857	0.6962295	0.0707238	0.0826777	0.9801899	1.0091416
650	0.1230655	0.0859941	0.0200663	0.1411091	0.3750230	0.6923778	0.0727751	0.0399973	0.9421923	0.9770361
700	0.1067618	0.0735787	0.0431934	0.1374233	0.3366353	0.6653727	0.0739421	0.0127683	1.0599485	0.9928452
750	0.1616655	0.0616844	0.0790080	0.1270807	0.3349882	0.5867886	0.0763028	0.0099521	0.9777380	0.9730512
800	0.1794587	0.0712132	0.0632245	0.1327095	0.2397403	0.5718960	0.0718329	0.0133110	0.8862345	1.0271580
