YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000000	0.3705548	0.6009343	0.6609655	0.7649021	0.1487199	0.3828158	0.0361447	0.0533420	0.8911809
0.4248999	0.0000000	0.0282095	0.2221893	0.9475216	0.0573680	0.0464376	0.0656632	0.0762036	0.9132562
0.2440653	1.0206420	0.0000000	0.4586926	0.8307475	0.1366788	0.0049501	0.0659529	0.0730452	0.9345542
0.2402343	0.9528484	0.0399382	0.0000000	0.7896633	0.1509161	0.0440251	0.0837325	0.0474008	1.0238891
0.3718179	0.3744348	0.5088023	0.6515251	0.0000000	0.0934099	0.3060802	0.0946505	0.1051614	1.1365271
0.0767377	0.4099710	0.4777412	0.5919176	1.0578642	0.0000000	0.2628812	0.0744987	0.0707563	1.0713424
0.2771071	0.9038680	0.1178263	0.4649598	0.7918100	0.1624155	0.0000000	0.0723127	0.0480596	1.1130002
0.2963803	0.6383914	0.2042576	0.4248454	0.8213819	0.1031920	0.2081329	0.0000000	0.0774692	1.0021787
0.2487526	0.8091107	0.0918504	0.3159194	0.8168739	0.1248198	0.1123738	0.0622377	0.0000000	1.1456079
0.3809850	0.9401987	0.0822657	0.3406441	0.2622242	0.9207342	0.0316458	0.6718721	1.0554631	0.0000000
