"Time"	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C

0	0.0414004	0.0590876	0.0428999	0.9172808	0.0333929	0.0623479	0.1886642	0.5447241	0.2215923	1.0000000
50	0.0414004	0.0590876	0.1044719	0.9171715	0.0333962	0.0623904	0.1605689	0.6633637	0.2215922	1.0000000
100	0.0414005	0.0590887	0.1721837	0.9171185	0.0333950	0.0627001	0.1347451	0.7842040	0.2215922	1.0000000
150	0.0414011	0.0590928	0.2090431	0.9171032	0.0333832	0.0632786	0.1232867	0.8452416	0.2215922	1.0000000
200	0.0414028	0.0590984	0.2256613	0.9171303	0.0333582	0.0638706	0.1190922	0.8711066	0.2215922	1.0000000
250	0.0414054	0.0591032	0.2325157	0.9172069	0.0333254	0.0642973	0.1176903	0.8812724	0.2215922	1.0000000
300	0.0414082	0.0591062	0.2352002	0.9173230	0.0332934	0.0645444	0.1172460	0.8851274	0.2215922	1.0000000
350	0.0414105	0.0591078	0.2362168	0.9174550	0.0332678	0.0646687	0.1171101	0.8865755	0.2215922	1.0000000
400	0.0414120	0.0591085	0.2365928	0.9175784	0.0332500	0.0647256	0.1170695	0.8871316	0.2215922	1.0000000
450	0.0414129	0.0591089	0.2367296	0.9176785	0.0332389	0.0647500	0.1170576	0.8873600	0.2215922	1.0000000
500	0.0414134	0.0591090	0.2367787	0.9177514	0.0332324	0.0647600	0.1170542	0.8874649	0.2215922	1.0000000
550	0.0414136	0.0591064	0.1752241	0.9178001	0.0332293	0.0645621	0.1451500	0.7686585	0.2215922	1.0000000
600	0.0414123	0.0590975	0.1075185	0.9178258	0.0332374	0.0638243	0.1709740	0.6477579	0.2215922	1.0000000
650	0.0414090	0.0590913	0.0706613	0.9178110	0.0332643	0.0631355	0.1824325	0.5866957	0.2215922	1.0000000
700	0.0414055	0.0590888	0.0540437	0.9177362	0.0333011	0.0627185	0.1866271	0.5608121	0.2215922	1.0000000
750	0.0414030	0.0590880	0.0471895	0.9176122	0.0333353	0.0625091	0.1880290	0.5506199	0.2215922	1.0000000
