"Time"	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C

0	0.7752726	0.6317035	0.7818799	0.0480849	0.6830252	0.6787732	0.7533930	0.0049716	0.1746562	0.9545060
50	0.7181941	0.4227290	0.7473149	0.0540690	0.7626139	0.7350234	0.8731394	0.0198278	0.1766983	0.7855111
100	0.7288380	0.5802465	0.6359073	0.0564204	0.6264551	0.7498957	0.9037807	0.0237205	0.1909541	0.5674339
150	0.6005546	0.4222631	0.7126198	0.1030609	0.6919781	0.6801118	0.7688068	0.0043683	0.1233942	0.6086564
200	0.6351303	0.4738789	0.6588459	0.0548345	0.5908599	0.7763138	0.8222024	0.0203205	0.1353509	0.8323735
250	0.6422392	0.4385598	0.8575109	0.0779969	0.6030711	0.7043716	0.8286750	0.0262118	0.1514233	0.6831287
300	0.5448438	0.6448561	0.7701561	0.0435792	0.6197278	0.7240514	0.7330226	0.0477907	0.1756435	0.6734173
350	0.5984765	0.5423221	0.6392562	0.1269229	0.7342876	0.7712444	0.7801025	0.0233010	0.2106785	0.9207708
400	0.8131890	0.4327475	0.8604280	0.0253192	0.6182258	0.8326180	0.8146152	0.0185317	0.1378054	0.8209629
450	0.5808628	0.5795390	0.6381725	0.0464641	0.6851104	0.8432681	0.7051250	0.0523207	0.2148308	0.7374124
500	0.8856203	0.4722226	0.7587489	0.0624350	0.6747463	0.6085596	0.6846711	0.0130595	0.1325012	0.8589690
550	0.6458456	0.4405685	0.6521950	0.0408528	0.6224207	0.7441989	0.9221058	0.0096557	0.1360381	0.9989520
600	0.6936403	0.3531628	0.7667728	0.0476016	0.7083557	0.6251613	0.7379472	0.0358395	0.1642253	0.8122352
650	0.6065033	0.5338625	0.7363925	0.0553408	0.7884439	0.5759386	0.7534033	0.0149842	0.1427689	0.8326744
700	0.6345362	0.4504146	0.8371709	0.0573321	0.6484513	0.7731497	0.8923898	0.0107348	0.1477696	0.8034745
750	0.6649560	0.5079683	0.7078921	0.0853179	0.6726969	0.8203826	0.7503321	0.0172760	0.1317815	0.6647547
800	0.6715882	0.4251111	0.5706211	0.0477550	0.6486213	0.7139463	0.7671334	0.0164062	0.2031686	0.7101224
850	0.6811604	0.5455390	0.6379808	0.0601979	0.6279924	0.6285462	0.9955081	0.0139810	0.1546593	0.7528016
900	0.6211466	0.5839115	0.7215572	0.0680293	0.6472449	0.6147536	0.7178398	0.0386522	0.2013637	0.6697007
950	0.6476792	0.4446499	0.7312001	0.0451582	0.5440165	0.6791456	0.7496175	0.0344404	0.1650636	0.8569215
1000	0.7901751	0.4809848	0.7483740	0.0551939	0.7599501	0.6695950	1.0063619	0.0338760	0.1217611	0.8042114

0	0.6557595	0.6612010	0.7408196	0.1400918	0.5652949	0.7330112	0.9548222	0.0114436	0.2214661	0.9112906
50	0.8195287	0.5519483	0.7946086	0.0445299	0.4125884	0.6424268	0.7845728	0.0155470	0.1004536	0.3892783
100	0.5458917	0.4290017	0.7817190	0.0477156	0.3250595	0.6021306	0.8662782	0.0410590	0.0789830	0.2399160
150	0.6369653	0.4008647	0.9500820	0.0380758	0.2239334	0.5795521	0.6731525	0.0119024	0.0843349	0.1387694
200	0.5882235	0.4935947	0.6836792	0.0534366	0.2885483	0.5150546	0.7684459	0.0160952	0.0639368	0.0521465
250	0.5977860	0.4722429	0.7440330	0.0534111	0.1522795	0.5410125	0.8610144	0.0417526	0.0384010	0.0644351
300	0.6196898	0.4628744	0.6865326	0.0609111	0.2163644	0.5017232	0.8489943	0.0228414	0.0441638	0.0608691
350	0.6929897	0.3944323	0.8057995	0.0745709	0.1586532	0.5131998	0.8024852	0.0142894	0.0393874	0.0477379
400	0.6161338	0.4522161	0.6285890	0.0561283	0.2392373	0.4727644	0.8024493	0.0039911	0.0576292	0.0631307
450	0.7340890	0.5813851	0.6792104	0.0479555	0.1955706	0.5914480	0.8688995	0.0110894	0.0877830	0.0550969
500	0.5595925	0.2981190	0.8700718	0.1047599	0.1837911	0.5651703	0.8564872	0.0062707	0.0567943	0.0505095
550	0.6346220	0.4862254	0.7867555	0.1306313	0.4740362	0.6410507	0.7329417	0.0133701	0.0698816	0.3097003
600	0.6446899	0.5144281	0.7530594	0.0530176	0.5514433	0.6897277	0.7661482	0.0153269	0.1556079	0.7221462
650	0.7083247	0.5597064	0.7198307	0.0523217	0.7470050	0.7226148	0.8343193	0.0216357	0.1432515	0.6384517
700	0.7113301	0.4165290	0.8766637	0.0882964	0.6245585	0.8508992	0.8449281	0.0198975	0.1096100	0.7620576
750	0.5693047	0.4686486	0.7929051	0.0323389	0.7508750	0.6801046	0.8486356	0.0277773	0.2161106	0.7051983
800	0.5365144	0.4726528	0.8557501	0.0998532	0.7431292	0.6960281	0.7424938	0.0076897	0.1554742	0.8198111
850	0.6689006	0.5260857	0.8038663	0.0554987	0.5167729	0.5321105	0.7313118	0.0067152	0.1634285	0.7891681
900	0.6938444	0.5286259	0.8401628	0.0688990	0.6001407	0.5988603	0.9932727	0.0144210	0.1603041	0.7436371
950	0.5606675	0.6226533	0.8193584	0.0416849	0.7019253	0.6702575	0.7124660	0.0117313	0.1578215	0.7587339
1000	0.7356924	0.3934681	0.8383513	0.1186517	0.5099070	0.6526961	0.8155782	0.0053265	0.1972389	0.6584577

0	0.7264322	0.5258953	0.7406637	0.0828491	0.6878565	0.6629230	0.8633282	0.0374878	0.1276927	0.8311996
50	0.5868609	0.3573771	0.6935990	0.0675447	0.6813776	0.7032473	0.6740799	0.2406778	0.1556501	0.5826249
100	0.6951173	0.3157550	0.4548745	0.0474244	0.6450022	0.5057396	0.4544336	0.4592849	0.1436537	0.6252822
150	0.7134742	0.3271118	0.3071648	0.0422520	0.6912107	0.4515447	0.2248256	0.4208957	0.0861484	0.4454386
200	0.6366313	0.4401226	0.3133293	0.0512812	0.6230848	0.3138021	0.1576214	0.7121922	0.0803699	0.4681172
250	0.6207342	0.3806859	0.2830114	0.0414501	0.6666270	0.3192554	0.1205950	0.7100651	0.0599564	0.4980410
300	0.5220538	0.3284070	0.2826883	0.0593987	0.6318628	0.3067851	0.0770259	0.5934734	0.0795778	0.5398406
350	0.5722202	0.5128702	0.2206743	0.0525504	0.8530605	0.2995274	0.0722489	0.7481221	0.1219000	0.6245214
400	0.6855889	0.3489642	0.2165168	0.0671422	0.6869711	0.2970663	0.1080179	0.7309986	0.1118854	0.6487185
450	0.6643503	0.3203622	0.2304755	0.0522480	0.8828045	0.2407036	0.1299415	0.7558021	0.1028067	0.6016771
500	0.5745092	0.3611946	0.2320397	0.0438584	0.6658175	0.1966364	0.0698494	0.5815559	0.1086722	0.6146635
550	0.5910413	0.3294215	0.4180673	0.0720315	0.7881339	0.2602139	0.1046394	0.6262260	0.0837572	0.6472493
600	0.5062268	0.5294552	0.5892567	0.1006169	0.7052693	0.3025973	0.0907372	0.3108062	0.0892062	0.7111524
650	0.5769537	0.4869080	0.7168492	0.0411332	0.8115438	0.3242405	0.1381149	0.1566220	0.0836957	0.7847992
700	0.5166204	0.6040597	0.7565319	0.0368958	0.7256721	0.4351479	0.2188297	0.1492300	0.1121823	0.6575617
750	0.5721227	0.4534276	0.8166453	0.0342849	0.6057893	0.4152701	0.4306307	0.0609924	0.1393465	0.7380696
800	0.6189443	0.4631019	0.6656032	0.0990349	0.8426107	0.4991229	0.6237044	0.0312545	0.1594592	0.7426809
850	0.6109667	0.5171229	0.7254875	0.0940302	0.6679558	0.5481155	0.8316978	0.0837617	0.1636414	0.7759682
900	0.5117844	0.4907126	0.5470293	0.0838880	0.5792696	0.5198980	0.8848940	0.0175778	0.1643445	0.8052566
950	0.6629665	0.5454880	0.6954805	0.0429817	0.5849093	0.5413896	0.6977006	0.0170676	0.1554963	0.6755713
1000	0.7642051	0.5679762	0.7484365	0.0412608	0.6435598	0.6478615	0.6690170	0.0062597	0.2125496	0.7985760

0	0.6942312	0.5314030	0.8053067	0.0880663	0.7326139	0.6407566	0.8011870	0.0102645	0.1773083	0.7968131
50	0.6908037	0.5156457	0.9548717	0.0409961	0.5959781	0.9383476	0.7933618	0.0112278	0.1578158	0.7664604
100	0.8105606	0.3879729	0.6846738	0.0507884	0.6915408	0.6329670	0.6991283	0.0033851	0.2422783	0.7277663
150	0.7715443	0.4519027	0.6855656	0.0445438	0.6205088	0.7144590	0.6983863	0.0102896	0.2279123	0.7217970
200	0.7908576	0.3765964	0.8193250	0.0460078	0.7628480	0.7541691	0.8294880	0.0126369	0.1868006	0.7022852
250	0.7291517	0.4544251	0.8698781	0.0694329	0.7167722	0.8024299	0.6584050	0.0170757	0.1273871	0.6320636
300	0.8714447	0.3570531	0.7575891	0.0316794	0.7597650	0.8507932	0.6810373	0.0045408	0.1581753	0.7348318
350	0.8569710	0.3363047	0.7319931	0.0480614	0.6472213	0.7360389	0.7000901	0.0008528	0.1403073	0.9512677
400	0.6789800	0.3040096	0.7726973	0.0556254	0.6295703	0.8226467	0.6637745	0.0039803	0.1435941	0.8543158
450	0.8119951	0.3054757	0.7793797	0.0201817	0.6693957	0.6844698	0.7093535	0.0036920	0.0879488	0.8016121
500	0.5829779	0.3420150	0.7540438	0.0861309	0.7945930	0.7314837	0.7014886	0.0035724	0.0900710	0.6663747
