YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1454113	0.9995074	0.3625476	0.2908441	0.2750713	0.3129323	0.2290054	0.9471152	0.5995200	0.3840330
0.2144662	0.9853943	0.1361270	0.6289988	0.4042337	0.8550500	0.0068775	0.6546697	0.9192384	1.0000000
0.2200980	0.9698188	0.4005772	0.1752542	0.0124299	0.1447330	0.2406712	0.5165578	0.9597581	1.0000000
0.2100055	0.9995089	0.3198106	0.3222934	0.3123072	0.2443040	0.1984104	0.5068676	0.7648977	0.5397108
0.2227239	0.9621116	0.1754078	0.5130191	0.4662797	0.6071101	0.1697998	0.8524045	0.7662993	0.4016964
0.2206909	0.9681148	0.2522206	0.3576518	0.0407090	0.3871499	0.2367848	0.5804583	0.9646003	1.0000000
0.2101443	0.9991657	0.3188338	0.3226963	0.6406526	0.3473378	0.2365638	0.5850888	0.9663407	0.8837410
0.3332871	0.6619354	0.0425009	0.6920708	0.5903644	0.8039879	0.0059145	0.7147845	0.8776321	0.8110985
0.2308697	0.7658199	0.0718309	0.6369968	0.3883852	0.8768147	0.0379409	0.4954338	0.9078309	1.0000000
0.0965543	0.9989422	0.3002665	0.2203753	0.3050198	0.2418608	0.2321548	0.7184181	0.8750422	0.7996924
