YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.3921435	0.5155670	0.7563949	0.0901722	0.7756700	0.7254731	0.7947236	0.5957964	0.2074288	0.4057686
1.0700666	0.2333468	0.7996807	0.0955448	0.7378449	0.7300683	0.7169579	0.1814014	0.0862105	0.1246319
1.0586345	0.2998149	0.4102755	0.0754513	0.6843181	0.6543575	0.6440247	0.2912860	0.1232960	0.1616642
0.8197160	0.4186559	0.8144293	0.0486552	0.7698433	0.6908755	0.8338712	0.3121080	0.2623991	0.2926137
0.9038680	0.4838109	0.7465568	0.1552684	0.4369889	0.7757068	0.8176420	0.3383136	0.2174076	0.3071633
0.9552051	0.2606946	0.3099681	0.1820310	0.2245820	0.4153966	0.7885000	0.2512961	0.1839500	0.1668872
0.9336212	0.4267047	0.7387243	0.1149103	0.6735468	0.5925008	0.3623114	0.2971630	0.1743289	0.3071471
0.9203919	0.4617699	0.7848240	0.0763554	0.7998674	0.7590806	0.5490331	0.1499727	0.1854841	0.3087526
0.8837192	0.5143220	0.7934696	0.0851825	0.7957741	0.6778985	0.8144212	0.4397741	0.1006396	0.3102696
0.9036268	0.4953681	0.7680660	0.1032337	0.6335554	0.7777082	0.7779521	0.2368552	0.1339124	0.1465247
