YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0237488	0.5598347	0.0388661	0.6834631	0.5975974	0.4889805	0.6281852	0.8032942	0.5996828	0.7779577
0.1079525	0.2875452	0.0222723	0.5505678	0.5925446	0.7868012	0.6378762	0.7166544	0.5709096	0.8109016
0.0603303	0.6783068	0.0045332	0.7507277	0.6889948	0.5608680	0.6070634	0.7245386	0.6274215	0.7176950
0.0568857	0.6795727	0.0260790	0.4325219	0.6859288	0.5278299	0.6159070	0.5982363	0.3614630	0.6965381
0.5972431	0.0581774	0.5989708	0.0184921	0.0958567	0.4687745	0.5345761	0.8313931	0.0402786	0.7192602
0.0584241	0.6584849	0.0314258	0.6958117	0.6949571	0.3389989	0.6463193	0.6768787	0.5840918	0.6799009
0.0738153	0.8009022	0.0453300	0.6613338	0.6975733	0.5389513	0.2486669	0.7489282	0.4585300	0.6984211
0.0640352	0.7745587	0.0151614	0.7231972	0.6733826	0.4039855	0.1459512	0.3568313	0.5712726	0.6956163
0.0698534	0.6170142	0.0906796	0.7535397	0.5688620	0.6519352	0.4856399	0.6897873	0.2959072	0.6596286
0.0709740	0.5892536	0.0179389	0.8322956	0.6173219	0.5827573	0.6314772	0.6259851	0.5946222	0.3823204
