YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.1729891	0.3151415	0.6633612	1.0311364	0.5460995	0.5268713	0.1381906	0.0972750	0.0642918	0.6258307
0.1444910	0.5673786	0.7838133	1.0337791	0.0001677	0.0262979	0.6411126	0.8356491	1.0151416	0.0912254
0.1405972	0.6672951	0.6369217	0.9612556	0.6162855	0.9744590	0.1040767	0.1949830	0.0150449	1.0307233
0.2887226	0.4138526	0.6442928	0.9085929	0.6211663	0.8776042	0.0016014	0.0184305	0.0156476	1.0053951
0.2315659	0.5223506	0.6048421	0.9950270	0.9313042	0.6197263	0.1890731	0.1130475	0.0321245	1.0306789
0.1525029	0.5874845	0.6199067	1.0732516	0.7199431	0.7467500	0.0045796	0.0436389	0.0375092	1.0708548
0.5215504	0.2559987	0.7947008	1.0291575	0.0023978	0.0392177	0.5158924	0.6150193	0.0485988	0.9838741
0.2480568	0.3778475	0.7208213	0.9528555	0.4010953	0.4989646	0.1804015	0.2452147	0.1135726	0.6833459
0.3063220	0.3560247	0.7154797	0.7913445	0.7390415	1.0196327	0.0113068	0.0645057	0.0656147	1.0339030
0.0839508	0.7367268	0.3569208	0.6208910	0.0026657	0.0398093	0.7831373	0.4952366	0.0507183	0.6017617
