YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.8564178	0.5359321	0.7817521	0.6151516	0.5015809	0.1087461	0.8958535	0.3782776	0.9225871
0.9728611	0.0000000	0.4564280	0.6754441	0.5688025	0.4624658	0.1496883	0.9709838	0.3618693	0.9346891
0.8460593	0.9820283	0.0000000	0.7844018	0.7770571	0.1175502	0.1056692	0.9388155	0.3406697	0.9784708
0.7402991	0.6798895	0.4808909	0.0000000	0.6551412	0.7277809	0.2969837	0.6483565	0.5454671	1.0056067
0.7628624	0.9160540	0.0217763	0.0148608	0.0000000	0.5387059	0.2691584	0.5177051	0.4192461	1.0577488
0.7605220	0.9691043	0.1821618	0.6725375	0.5446732	0.0000000	0.1155997	0.9969729	0.3991945	1.0328218
0.7756802	1.0609434	0.3779917	0.7281747	0.5405084	0.2613690	0.0015816	0.9056980	0.3508569	1.0867208
0.4562174	0.5265011	0.5415703	0.8791573	0.5979977	0.7445734	1.0003958	0.0000000	0.5205580	1.0052307
0.7727258	0.5065079	0.5110593	0.7961586	0.7558535	0.7981198	0.2872027	0.5420099	0.0000000	1.0065524
0.7646231	0.6145123	0.4975611	0.7863513	0.6837350	0.7516261	0.2005772	0.6654162	0.0812016	0.0000000
