YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.1096968	0.0000000	0.6922850	0.1366238	1.0745947	0.0000000	0.5991369	1.0478788	0.5851991	0.9600216
0.1070627	0.0000000	0.0755831	1.0480780	0.0000000	0.6532832	0.5461050	1.0405993	0.1585344	1.0714774
0.1153341	0.0000000	0.7035721	0.1214968	1.0366602	0.0173843	0.0100472	0.0000000	0.4473889	0.9751333
0.0677726	0.0000000	0.3727371	0.2065657	0.7786587	0.5354532	0.5747977	1.0301762	0.0000000	1.0084439
0.0694922	0.0000000	0.4163119	0.1924902	0.6148986	0.5858036	0.6373057	1.1026628	0.6584144	0.0000000
0.0885086	0.0118608	0.0841205	0.9792820	0.0000000	0.0000000	0.6176315	1.0633805	0.1870879	0.9754319
0.0815637	0.0195997	0.0754488	0.9760866	0.0000000	0.0177090	0.0115037	0.0000000	0.1435646	0.9866586
0.0843307	0.0173012	0.0613507	0.9959931	0.0000000	0.6246452	0.6486728	0.9267463	0.4914061	0.0000000
0.0956697	0.0382411	0.2019546	0.3079915	0.8020925	0.0000000	0.0172085	0.0000000	0.2506845	0.9984269
0.1193058	0.0937171	0.3606061	0.1575848	0.8347202	0.0000000	0.6336589	0.9935627	0.7517040	0.0000000
