YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3643717	0.7918759	0.5911144	1.0000000	0.9750008	0.9999917	0.7004773	0.9667026	1.0000000	0.8467378
0.5571696	0.6672446	0.5911146	1.0000000	0.9346273	0.9991707	1.0000000	1.0000000	0.7962023	0.9681567
0.4246054	0.5868248	0.6149348	0.8738418	0.7199479	0.9999942	1.0000000	0.6923420	0.7969238	0.7525422
0.6162110	0.6236544	0.5911146	1.0000000	0.9995385	0.9999877	0.7270774	0.6311950	1.0000000	0.6928592
0.3419336	0.7662751	0.6702707	0.9624880	1.0000000	0.9991704	0.9856464	0.9759947	0.7692087	0.8264640
0.3894943	0.8044630	0.6765986	0.8825288	1.0000000	0.9991618	0.7560944	1.0000000	0.9942816	0.8363666
0.6883359	0.5710467	0.5911145	1.0000000	1.0000000	0.9999929	0.9557553	1.0000000	0.9007825	0.5216120
0.6883359	0.5710467	0.5911145	1.0000000	1.0000000	0.9999953	1.0000000	0.4779151	1.0000000	0.8117136
0.6406647	0.5706378	0.5911145	1.0000000	1.0000000	0.9991707	1.0000000	0.8454507	0.8389988	0.8309733
0.4270301	0.6887826	0.7274651	0.9507748	0.8847625	0.9991707	1.0000000	0.4619815	0.9373198	0.7829438
