YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0304261	0.0815301	0.0362601	0.9968374	0.0507522	0.0622024	0.2154482	0.4965380	0.2760426	1.0729764
0.0149250	0.0283713	0.0569835	1.0367529	0.0299634	0.0598094	0.2079623	0.5068629	0.2065305	0.9187963
0.0478641	0.0350759	0.0220831	0.8390334	0.0361674	0.0495738	0.1562300	0.4678887	0.2844352	0.9235630
0.0421143	0.0455756	0.0620970	0.4613214	0.0517898	0.0636836	0.1708722	0.1775409	0.2602370	1.1461938
0.0440942	0.0696875	0.0829110	0.8504980	0.0314148	0.0725374	0.2481146	0.5554799	0.1849602	0.9561312
0.0289467	0.0641509	0.0593270	0.9808358	0.0335603	0.0405226	0.2057313	0.5074947	0.2101429	0.9850508
0.0351670	0.0472937	0.0612494	0.8225437	0.0387920	0.1185442	0.0408611	0.5525078	0.2384310	0.9732073
0.0196976	0.0565622	0.0520613	0.8563287	0.0380708	0.0580910	0.2309461	0.2525534	0.2053580	0.9923648
0.0605890	0.0650561	0.0378086	0.8758617	0.0602698	0.0668351	0.2535658	0.4505053	0.1157206	0.9497601
0.0283778	0.0575269	0.0329679	0.9435593	0.0419325	0.0901940	0.1400768	0.7013103	0.2987266	0.4837508
