YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.2607969	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8908941	0.9834321	0.9999740	0.0620040
0.2238196	0.1601065	0.9998451	0.9904401	0.1898421	1.0000000	0.8908944	0.9834322	0.9999740	0.0620040
0.8853171	0.8894803	0.4999227	0.9904401	0.1898421	1.0000000	0.8618038	0.9834321	0.9999740	0.0620040
0.5225780	0.3210867	0.9987497	0.4953993	0.1898421	1.0000000	0.8568632	0.9834320	0.9999740	0.0620040
0.5214306	0.3202086	0.9998493	0.9995932	0.0949214	1.0000000	0.8913161	0.9834339	1.0000000	0.0053781
0.5240463	0.3220379	0.9976088	0.4000587	0.5735633	0.5000002	0.7609296	0.7029813	0.0250200	0.7975843
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.4457243	0.9833759	0.9999740	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8245649	0.4918296	0.9999740	0.0620040
0.5214356	0.3202121	0.9998451	0.9904401	0.1898421	1.0000000	0.8803984	0.8521715	0.4999964	0.0620040
0.5214359	0.3202121	0.9998451	0.9904400	0.1898421	1.0000000	0.8908925	0.9834329	0.9999994	0.0310126
