YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0879157	0.7258128	1.0632221	0.9868307	0.7886496	0.6479931	0.1592282	0.8110849	0.7626535	1.0186022
0.0768043	0.7578974	1.0290232	1.0379781	0.9533491	0.9512787	0.0290972	0.9564608	0.9287530	1.0371247
0.1740671	0.6367654	1.0743716	0.9391069	0.5682228	1.0797849	0.2251774	0.4565607	1.0148257	1.0864826
0.1134280	0.7838333	0.9314071	0.9805069	0.7276106	0.8807825	0.1473452	0.5458836	0.5129999	0.9491750
0.1358264	0.6045124	0.8521878	0.9842539	0.8822834	1.0335373	0.0083066	0.9775882	0.9190291	0.9919937
0.1092840	0.6439605	0.9445561	0.8991635	1.0599986	0.7571268	0.0605261	0.9172652	0.5234516	0.8447185
0.0961532	0.8639023	1.0221573	0.9951985	1.0203037	0.5816613	0.0242173	1.0823516	1.0079042	0.7582094
0.0969506	0.6500592	1.0286438	0.9949000	0.9393613	0.9638759	0.0559076	1.0313940	0.7251901	0.9926469
0.1820857	0.6867704	1.2056517	1.1200930	1.0009262	0.8987898	0.0416427	0.9622590	0.6847291	0.5557843
0.1859472	0.6846480	0.9732647	1.0498222	0.9316334	0.9618730	0.0311246	0.9453645	0.9061517	0.9957346
