YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000000	0.6653407	0.3829151	0.6576484	0.4529615	0.1203537	0.1115643	0.1386227	0.7701174	0.6770867
0.6164225	0.0000000	0.3988746	0.8063457	0.5368678	0.0674830	0.0868608	0.1311167	0.8076756	0.6462384
0.3765441	0.6987676	0.0000000	0.7385136	0.3415150	0.4606662	0.0116221	0.0039562	0.7838783	0.8459632
0.7198463	0.2607360	0.6033894	0.0000000	0.1442508	0.5859390	0.2492761	0.2108755	0.6442215	0.7706329
0.3552615	0.7958124	0.3587819	0.6199750	0.0000000	0.7901108	0.0797159	0.1357967	0.8543944	0.9243881
0.5100187	0.6834657	0.4769271	0.7345763	0.3273634	0.0000000	0.1264580	0.1394032	0.6865723	0.6521785
0.3294663	0.6792299	0.3724806	0.7457284	0.5088233	0.8044151	0.0000000	0.1075588	0.7816781	0.7048999
0.4227236	0.6766266	0.2978491	0.8206791	0.3514610	0.4493830	0.0232393	0.0000000	0.7250073	0.7236895
0.3933025	0.6261518	0.4323200	0.6968652	0.2428996	0.3053980	0.5817232	0.4866107	0.0000000	0.8061997
0.4016152	0.6114638	0.3660815	0.6745121	0.2706880	0.3700413	0.1243019	0.1012408	0.7588072	0.0000000
