"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1843877	0.0338946	0.4479808	0.7745405	0.9838200	0.0300830	0.9585965	1.0658975	0.6587919	0.7169598
50	0.0970293	0.0687073	0.4675861	0.7470209	0.9439978	0.0090306	1.0186694	0.9093765	0.7865291	0.6926390
100	0.1403067	0.0654137	0.4746563	0.7593288	0.9694747	0.0033570	0.9998280	0.9593808	0.7160183	0.6030438
150	0.1977060	0.0632787	0.4775685	0.7637563	0.9479576	0.0050578	1.0482708	0.9786375	0.6612030	0.5431392
200	0.1975255	0.0681867	0.4182492	0.7645641	1.0399979	0.0037438	1.0112000	0.8837052	0.6236712	0.5972965
250	0.1595370	0.0537996	0.3981300	0.8010876	1.0335141	0.0054416	0.8871695	0.9151310	0.6067344	0.6266787
300	0.0964872	0.0453006	0.4307073	0.7506048	1.0095658	0.0045972	0.9402292	0.9328175	0.6494679	0.6493170
350	0.1118490	0.0748251	0.4610565	0.7309929	0.9944713	0.0060781	0.8845114	0.9636749	0.6639203	0.6995998
400	0.1664370	0.0440541	0.4279704	0.7709369	1.0000732	0.0012517	0.8794437	0.9177959	0.7636122	0.7694172
450	0.1657387	0.0715233	0.3890166	0.8189176	0.9757427	0.0012066	0.8325314	0.9472316	0.7416518	0.7219749
500	0.1264863	0.0497428	0.3939332	0.6959412	0.9283946	0.0010562	0.9086830	1.0026368	0.7486317	0.7100425
550	0.1516209	0.0568367	0.4475215	0.7333437	0.9880529	0.0073005	0.9179507	0.9641231	0.7328499	0.6499294
600	0.1619755	0.0509864	0.4519797	0.6991823	1.0730178	0.0091237	0.9374704	0.8910191	0.7048987	0.6527375
650	0.1612675	0.0436804	0.4041007	0.7394629	0.9974593	0.0178222	0.9281337	1.0007667	0.7183640	0.6090530
700	0.1385327	0.0627569	0.4185058	0.7475464	1.0128328	0.0209008	1.0161404	0.9244527	0.6917473	0.6131444
750	0.0910443	0.0523014	0.4218566	0.7414256	0.9763453	0.0164389	0.9460911	0.9182062	0.7072219	0.6691300
800	0.1414780	0.0533261	0.4331035	0.8042806	0.9466049	0.0146535	0.8685414	0.9736143	0.7297719	0.6442442
850	0.1082104	0.0525143	0.4404530	0.8396508	0.9945988	0.0154395	0.9257448	0.9148685	0.6690321	0.6548839
900	0.1394838	0.0368316	0.4683721	0.7999026	1.1152947	0.0095599	1.0523329	0.9747016	0.6667078	0.6460026
950	0.1189241	0.0570111	0.4592870	0.7904379	0.9826121	0.0056005	1.0229094	0.9110043	0.6677874	0.6060461
1000	0.0999909	0.0559446	0.4671177	0.7237097	0.9155771	0.0155443	0.9518551	0.8990879	0.6619004	0.5985401

0	0.1843877	0.0338946	0.4479808	0.7745405	0.9838200	0.0300830	0.9585965	1.0658975	0.6587919	0.7169598
50	0.2140292	0.0706324	0.3115593	0.6573251	0.8951917	0.0201592	0.9483290	1.0356897	0.7987052	0.6119584
100	0.3184076	0.0574103	0.1887852	0.8385732	0.6765805	0.0133076	0.8898381	1.0055822	0.8206154	0.5852027
150	0.4035240	0.0450107	0.1015829	0.8125860	0.6685742	0.0167658	0.8666901	1.0765736	0.7641703	0.6469388
200	0.4089046	0.0431572	0.0890982	0.8885868	0.6428034	0.0250397	0.9292665	1.0686366	0.7650154	0.5945826
250	0.3830761	0.0524911	0.0709332	0.9699218	0.6400858	0.0137765	0.8681493	0.9463362	0.7090202	0.5622750
300	0.3597538	0.0581445	0.0495502	0.9096267	0.6353620	0.0055358	0.9712903	0.9526348	0.6463539	0.6901484
350	0.4075939	0.0357624	0.0631759	0.8358885	0.6583173	0.0042330	1.0024232	0.9553105	0.7011747	0.6578210
400	0.4539699	0.0510424	0.0424591	0.8557426	0.6282788	0.0194734	0.8908860	1.0056184	0.6489657	0.7012769
450	0.4392625	0.0776029	0.0320502	0.9141929	0.7007486	0.0378058	0.9571174	1.1579536	0.6806646	0.6887419
500	0.4582979	0.0556028	0.0360137	0.9034559	0.6792356	0.0333364	0.9617848	1.1476816	0.6660326	0.6726461
550	0.3241733	0.0635092	0.1195688	0.8829809	0.8671038	0.0244430	0.9908601	1.0228010	0.5666405	0.6784763
600	0.2104498	0.0461788	0.2123564	0.8312941	0.9400460	0.0116077	0.9463850	0.7648520	0.4810465	0.7364428
650	0.1828366	0.0492837	0.3030119	0.7990226	0.9062012	0.0085279	0.8397064	0.7473300	0.5677726	0.8104345
700	0.1489197	0.0485199	0.3094791	0.6903926	1.0258032	0.0058343	0.8248298	0.8560648	0.5954395	0.7892344
750	0.1558604	0.0448678	0.3703379	0.7812017	1.0282580	0.0047039	0.8849840	0.8471199	0.6698165	0.7798881
800	0.1455687	0.0644073	0.4406106	0.8248762	1.0565876	0.0109528	0.9281400	0.8172530	0.7486300	0.7872067
850	0.1767473	0.0367955	0.4234697	0.7244441	1.0402441	0.0079484	0.9506303	0.8300170	0.7314077	0.6815983
900	0.1207817	0.0428846	0.4106290	0.8475722	1.0196057	0.0098944	0.8437953	0.9376684	0.7146366	0.6717307
950	0.1632143	0.0560117	0.4472693	0.7985993	1.0210722	0.0142811	0.8856101	0.8492556	0.7786630	0.6363330
1000	0.1007433	0.0527087	0.4222080	0.6211405	1.0160297	0.0199564	0.9108009	0.8953975	0.7789995	0.6008852

0	0.1843877	0.0338946	0.4479808	0.7745405	0.9838200	0.0300830	0.9585965	1.0658975	0.6587919	0.7169598
50	0.1610151	0.0728958	0.4007859	0.6856040	0.9702557	0.0305643	1.0379704	0.9979420	0.6874498	0.7272091
100	0.1799811	0.0625460	0.4461587	0.6849539	0.9630824	0.0205514	1.0726828	0.9011154	0.6950794	0.7014697
150	0.1667664	0.0816600	0.4310334	0.6850468	0.9532911	0.0103510	1.0060410	0.9491589	0.6444628	0.7393952
200	0.1965438	0.0695724	0.4350591	0.7768472	1.0781741	0.0094403	1.0398891	0.9213396	0.6445402	0.7740530
250	0.2236578	0.0793322	0.3569122	0.7671738	0.9897043	0.0101259	0.9948723	1.0211117	0.6526175	0.7358203
300	0.1925727	0.0543474	0.3841946	0.7091153	0.9556062	0.0057143	0.9131811	1.0091927	0.6483889	0.6994863
350	0.1679630	0.0405090	0.4049207	0.7198088	0.8822314	0.0182276	1.0038222	0.9159423	0.7250288	0.7393610
