YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.5783630	0.3358055	0.7478907	0.9485045	0.3741858	0.9985433	0.2172113	0.9999994	0.0000000	1.0000000
0.4148220	0.5727434	0.5077965	0.9672505	0.3403235	0.9985419	0.2172145	0.9999986	0.0000001	0.7890650
0.2367144	0.2255656	0.8572245	0.9964886	0.2936952	0.9985193	0.2178263	0.9988339	0.1103989	1.0000000
0.4666482	0.4172407	0.6585640	0.6636354	0.2539405	0.4620794	0.1083516	0.9896349	0.0862665	0.9417426
0.6314431	0.5626789	0.5134797	0.8865463	0.2978074	0.7138069	0.1421935	0.9548524	0.1103989	1.0000000
0.3901934	0.8887026	0.3695736	0.9143568	0.2651762	0.9964731	0.2640783	0.9179119	0.1103989	1.0000000
0.1969999	0.2953935	0.7133118	0.7546714	0.4588110	0.6790193	0.2176956	0.9990553	0.0561328	1.0000000
0.2602453	0.5849051	0.3365591	0.9170676	0.2262235	0.7750362	0.1832443	0.9506584	0.1103989	0.9723665
0.5309940	0.5927597	0.6081672	0.7862993	0.2288266	0.7579610	0.2556779	0.8030700	0.0000009	1.0000000
0.0810375	0.1902831	0.7909928	0.9604607	0.2440984	0.9985444	0.2172093	0.9999999	0.0000000	1.0000000
