YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.0000000	0.0256193	0.9957860	0.4121892	0.3973478	0.6774515	0.6603108	0.1052998	0.9999992	0.0256246
1.0000000	0.0000031	0.9999980	0.4121911	0.3973449	0.6774511	0.6603082	0.1052993	0.9999993	0.0254296
1.0000000	0.0256173	0.0000000	0.6705491	0.3093856	0.7105518	0.8495136	0.0380051	0.4461380	0.9999999
1.0000000	0.9318024	1.0000000	0.0000000	0.2774261	0.5749598	0.7719414	0.0617071	0.9999993	0.0254185
1.0000000	0.6174749	0.4356444	0.9999968	0.0000000	0.8057728	0.9397517	0.0146480	0.9995108	0.1342123
1.0000000	0.6188582	0.4366564	0.9982937	0.0850000	0.0000000	0.9219302	0.0190117	0.9995195	0.1335810
1.0000000	0.9316041	0.9988736	0.0708579	0.7405318	0.9999999	0.0000000	0.2470303	0.9999993	0.0254724
1.0000000	0.8784468	0.7808062	0.5483085	0.3502323	0.6389490	1.0000000	0.0000000	0.9999956	0.0402500
1.0000000	0.8832749	0.7942659	0.5339305	0.3542588	0.6426578	0.9397569	0.0146480	0.0000000	0.0388665
1.0000000	0.9087460	0.8847590	0.4121663	0.3973448	0.6774454	0.6603033	0.1053035	1.0000000	0.0000041
