"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W

0	0.0167968	0.6060709	0.4370635	0.7261641	0.6987359	0.6197409	0.3589603	0.6708917	0.4122935	0.2992628
50	0.0156824	0.5595471	0.3237021	0.7177535	0.6602658	0.4153311	0.3286519	0.6304698	0.4509157	0.2890755
100	0.0392319	0.5979378	0.3441181	0.6089589	0.5570089	0.5901013	0.3942447	0.6630036	0.4404229	0.3859833
150	0.0177305	0.5427446	0.3011612	0.6729117	0.7804623	0.5348642	0.3607488	0.6824340	0.5223838	0.3164186
200	0.0115769	0.5001561	0.3043016	0.7239116	0.6507421	0.4722909	0.4104850	0.7878408	0.3395649	0.3013961
250	0.0157668	0.5131267	0.3085636	0.8060304	0.7537589	0.4174449	0.2624712	0.5521838	0.4023012	0.3265805
300	0.0304795	0.4937436	0.4799295	0.7945225	0.7140378	0.5182422	0.2712711	0.5957066	0.3988467	0.2792879
350	0.0277402	0.6329525	0.3722690	0.7779293	0.7167095	0.4716189	0.4629012	0.5444964	0.4290571	0.2939001
400	0.0210043	0.5804751	0.3737529	0.6418172	0.7191420	0.6323054	0.3073643	0.7199015	0.4359932	0.4231907
450	0.0083719	0.5236356	0.3211431	0.6728709	0.7256897	0.4399092	0.2914423	0.6095820	0.4765433	0.4601534
500	0.0034575	0.6132613	0.2815390	0.6343722	0.6717867	0.4807712	0.3665927	0.6372078	0.4012143	0.3874377
550	0.0314606	0.6111066	0.3481423	0.8499431	0.7386629	0.6124009	0.4297916	0.5665097	0.3650829	0.4459765
600	0.0211674	0.5182822	0.3566668	0.7072163	0.7373289	0.5225922	0.4391804	0.7344925	0.4907730	0.3465221
650	0.0049803	0.5467791	0.3347454	0.8319604	0.6871982	0.4871746	0.3446509	0.5686190	0.3833932	0.3292921
700	0.0103635	0.7220232	0.3711117	0.7912794	0.6847342	0.4215271	0.3525522	0.6313550	0.4199720	0.3173622
750	0.0201049	0.5053108	0.3216581	0.6313549	0.6414464	0.5873929	0.4149350	0.8344724	0.4351616	0.2737908
800	0.0172559	0.6846741	0.3313723	0.8490222	0.6990397	0.5697810	0.3029932	0.6555273	0.5080527	0.3938867
850	0.0460769	0.6717886	0.3286102	0.7120920	0.8535327	0.4938875	0.3252455	0.6853994	0.4142172	0.3571206
900	0.0248092	0.5364681	0.2877580	0.6695716	0.7295241	0.5027914	0.4651134	0.6467342	0.3543729	0.3191556
950	0.0125952	0.5225309	0.3838742	0.7628413	0.7689983	0.4840917	0.4046710	0.6505827	0.4799098	0.3171958
1000	0.0109416	0.4233213	0.3201467	0.6508038	0.8333850	0.4202123	0.4276382	0.5938966	0.4895307	0.3928239

0	0.0178689	0.5312459	0.3036974	0.8367366	0.6958306	0.4776044	0.3060890	0.6050330	0.3465966	0.3180724
50	0.0046231	0.4762949	0.5030906	0.8736839	0.7219181	0.5584619	0.3929615	0.7812927	0.4455036	0.3272643
100	0.0078673	0.4847652	0.6146345	0.8592319	0.6548365	0.3445500	0.3817815	0.5538715	0.5175510	0.2452242
150	0.0167079	0.5272374	0.5453004	0.7985995	0.7474423	0.3972874	0.3128621	0.5802096	0.4355132	0.3068647
200	0.0307864	0.5731471	0.4805599	0.6720149	0.6062580	0.3595752	0.3769461	0.6526914	0.5637207	0.2728222
250	0.0228557	0.5239299	0.5613811	0.6841642	0.6777368	0.4399131	0.3488275	0.6175559	0.4403608	0.2930989
300	0.0140945	0.6892773	0.5428305	0.8235534	0.7083084	0.3899390	0.3454409	0.7060421	0.4432717	0.2757178
350	0.0104296	0.5848492	0.6712897	0.6067049	0.5899839	0.4102577	0.2965150	0.6239407	0.4838237	0.3391651
400	0.0138913	0.5033188	0.4887441	0.6226601	0.7358422	0.3498542	0.3442948	0.6266209	0.4153149	0.2402083
450	0.0163520	0.5515200	0.7009335	0.6827501	0.7200350	0.4150725	0.4116688	0.6947074	0.6530804	0.3335590
500	0.0226287	0.5529174	0.5591450	0.7129937	0.7542528	0.3673090	0.3149332	0.5471018	0.4702496	0.5079463
550	0.0071812	0.6695393	0.4747119	0.6448888	0.8085250	0.5198658	0.2713904	0.6393855	0.4042849	0.3703108
600	0.0105696	0.5842808	0.4728563	0.7015662	0.6589545	0.4949057	0.2412568	0.7022323	0.4369504	0.2707990
650	0.0091019	0.6421122	0.4026345	0.6628120	0.6391069	0.4527135	0.3140169	0.7157090	0.4228534	0.3219628
700	0.0084435	0.6665427	0.3334083	0.7000276	0.8223666	0.5365710	0.3956732	0.6134309	0.4086051	0.2677716
750	0.0106750	0.6239562	0.4225212	0.7653220	0.7883821	0.4307462	0.3663620	0.5965061	0.5008388	0.3239715
800	0.0133454	0.6088428	0.3653876	0.6907193	0.8048957	0.4679728	0.3616251	0.8085631	0.5124206	0.3456977
850	0.0113975	0.5984607	0.3332377	0.7236191	0.7555424	0.5057842	0.4177547	0.6943757	0.3987201	0.3135118
900	0.0168499	0.6179432	0.3648624	0.6311748	0.7857052	0.3716485	0.4339008	0.6640716	0.3903189	0.3384728
950	0.0154067	0.4878215	0.3781437	0.6174086	0.6684151	0.5692752	0.3633369	0.5325070	0.3476723	0.3239654
1000	0.0138111	0.5106716	0.4084431	0.7392067	0.8291335	0.4243988	0.3768448	0.5849823	0.3620253	0.2817564

0	0.0208487	0.5629297	0.4935768	0.8312710	0.7444194	0.5630913	0.3204451	0.5810749	0.4396102	0.3412475
