"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C

0	0.0658712	0.3579799	0.9928070	0.5787386	0.7181857	0.7753024	0.3456739	0.8816405	0.0898802	1.0000000
50	0.0553575	0.1727016	0.9927191	0.6179632	0.7182877	0.7752937	0.3455044	0.8784864	0.0945549	0.7495089
100	0.0352323	0.1184628	0.9918399	0.6106196	0.7183254	0.7751860	0.3471825	0.8305540	0.1116826	0.6579088
150	0.0238819	0.1026590	0.9887412	0.5930363	0.7186048	0.7733498	0.3550207	0.7574007	0.1381827	0.6244124
200	0.0195366	0.0982692	0.9816777	0.5791408	0.7202533	0.7680551	0.3695228	0.6914629	0.1706001	0.6121633
250	0.0184060	0.0975061	0.9688407	0.5720762	0.7244577	0.7596283	0.3870882	0.6468442	0.2043221	0.6076840
300	0.0188112	0.0982160	0.9497079	0.5703063	0.7312349	0.7501403	0.4033127	0.6213540	0.2338909	0.6060461
350	0.0202220	0.0998123	0.9264529	0.5715831	0.7393244	0.7417105	0.4156395	0.6086537	0.2558645	0.6054471
400	0.0224176	0.1020015	0.9031575	0.5741352	0.7471023	0.7354289	0.4236519	0.6036345	0.2698829	0.6052280
450	0.0251127	0.1044385	0.8834622	0.5768197	0.7534410	0.7313828	0.4281059	0.6030843	0.2774671	0.6051479
500	0.0278954	0.1067506	0.8691333	0.5790490	0.7579482	0.7291485	0.4300387	0.6050383	0.2805688	0.6051187
550	0.0323963	0.3198043	0.8615105	0.5553048	0.7607684	0.7280433	0.4313704	0.6241683	0.2640779	0.8555990
600	0.0459853	0.3842195	0.8710230	0.5767317	0.7623378	0.7284227	0.4228236	0.7310234	0.2121208	0.9471952
650	0.0645207	0.3999357	0.9007707	0.5901239	0.7619432	0.7347389	0.4009326	0.8141359	0.1590452	0.9806902
700	0.0773810	0.3964299	0.9344227	0.5946769	0.7574852	0.7461260	0.3784185	0.8601976	0.1239558	0.9929388
750	0.0818769	0.3863475	0.9596511	0.5941814	0.7491271	0.7576009	0.3620939	0.8818584	0.1048211	0.9974178
800	0.0807682	0.3763479	0.9751918	0.5912771	0.7394679	0.7661926	0.3522616	0.8900199	0.0953501	0.9990557
850	0.0773747	0.3688785	0.9838899	0.5876901	0.7310176	0.7715327	0.3471208	0.8914548	0.0910291	0.9996547
900	0.0737976	0.3640517	0.9885070	0.5844338	0.7249018	0.7743896	0.3448553	0.8900452	0.0893016	0.9998737
950	0.0709199	0.3611960	0.9908631	0.5819560	0.7210849	0.7756728	0.3441531	0.8878516	0.0888121	0.9999538
1000	0.0689023	0.3596059	0.9920145	0.5803151	0.7190135	0.7760839	0.3441904	0.8858189	0.0888573	0.9999831

0	0.0658712	0.3579799	0.9928070	0.5787386	0.7181857	0.7753024	0.3456739	0.8816405	0.0898802	1.0000000
50	0.0646388	0.3579970	0.9927841	0.5884086	0.7557293	0.6472006	0.1888269	0.8816277	0.0898996	1.0000000
100	0.0643574	0.3580088	0.9927642	0.6066898	0.7979516	0.6845579	0.1378091	0.8816276	0.0899080	1.0000000
150	0.0642968	0.3580180	0.9927436	0.6135936	0.7991611	0.7103547	0.1212143	0.8816318	0.0899111	1.0000000
200	0.0642870	0.3580260	0.9927279	0.6120951	0.7863399	0.7206317	0.1158162	0.8816369	0.0899117	1.0000000
250	0.0642882	0.3580325	0.9927196	0.6083737	0.7756671	0.7242045	0.1140601	0.8816418	0.0899114	1.0000000
300	0.0642911	0.3580367	0.9927174	0.6051706	0.7697193	0.7253930	0.1134885	0.8816460	0.0899108	1.0000000
350	0.0642935	0.3580387	0.9927184	0.6031071	0.7669527	0.7257827	0.1133024	0.8816494	0.0899101	1.0000000
400	0.0642950	0.3580393	0.9927205	0.6019816	0.7657913	0.7259099	0.1132416	0.8816517	0.0899095	1.0000000
450	0.0642957	0.3580390	0.9927226	0.6014341	0.7653342	0.7259514	0.1132217	0.8816532	0.0899090	1.0000000
500	0.0642959	0.3580384	0.9927242	0.6011889	0.7651619	0.7259650	0.1132151	0.8816538	0.0899087	1.0000000
550	0.0655333	0.3580378	0.9927259	0.5910067	0.7222734	0.8661897	0.2700930	0.8816540	0.0899085	1.0000000
600	0.0658213	0.3580369	0.9927334	0.5735165	0.6739439	0.8197327	0.3211224	0.8816540	0.0899084	1.0000000
650	0.0658877	0.3580346	0.9927477	0.5633871	0.6760753	0.7914046	0.3377213	0.8816537	0.0899084	1.0000000
700	0.0659018	0.3580304	0.9927626	0.5633984	0.6932548	0.7806743	0.3431206	0.8816529	0.0899084	1.0000000
750	0.0659032	0.3580256	0.9927717	0.5682642	0.7062764	0.7770229	0.3448771	0.8816515	0.0899085	1.0000000
800	0.0659018	0.3580219	0.9927737	0.5729630	0.7131939	0.7758186	0.3454486	0.8816496	0.0899087	1.0000000
850	0.0659002	0.3580201	0.9927713	0.5759874	0.7163203	0.7754251	0.3456348	0.8816477	0.0899090	1.0000000
900	0.0658992	0.3580200	0.9927676	0.5775978	0.7176094	0.7752968	0.3456957	0.8816462	0.0899093	1.0000000
950	0.0658988	0.3580208	0.9927642	0.5783638	0.7181109	0.7752549	0.3457157	0.8816452	0.0899095	1.0000000
1000	0.0658990	0.3580218	0.9927617	0.5787013	0.7182985	0.7752411	0.3457224	0.8816449	0.0899097	1.0000000

