YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.1228391	0.4633623	0.4043348	0.9731386	0.5614185	0.9397965	0.9558940	0.4088332	0.2130981	0.9715830
0.2345126	0.2150404	0.4636949	1.0845620	0.0268722	0.0700669	0.2943654	0.1477730	0.1573560	0.9352969
0.2045431	0.6397078	0.1876665	1.0487528	0.4697922	0.9898176	0.9843566	0.5385160	0.1676502	0.9828505
0.2396414	0.3168036	0.8922119	0.5159723	0.5418156	1.0111629	1.0139106	0.4752650	0.2780584	1.0146165
0.2161508	0.4749466	0.4797788	1.0748455	0.2236869	0.9616959	1.0057417	0.4770202	0.1384137	0.9735471
0.2114137	0.4508768	0.5240684	1.0444383	0.3192016	0.4868297	0.7946912	0.3065059	0.1640096	0.9277479
0.2453003	0.4094401	0.6117925	0.8815572	0.5227111	0.9111546	0.5038184	0.3736111	0.2225146	0.9560321
0.2077515	0.3543274	0.5516826	0.9676135	0.4797886	0.8998158	0.8013123	0.2334087	0.1894821	1.0121112
0.2240471	0.4469216	0.4880751	1.0107795	0.2209616	0.0549794	0.0468419	0.0769109	0.0923952	0.9542698
0.2278817	0.4703733	0.5418381	0.8910832	0.5486459	1.0597396	1.0566152	0.8652417	0.4239760	0.5232668
