"Time"	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W

0	0.7402743	0.6126633	0.7452488	0.2926981	0.3132555	0.3812805	1.0453552	0.3746819	0.6660419	0.9932162
50	0.8366010	0.5604004	0.7475654	0.1650241	0.3104343	0.4174908	0.5748500	0.2114947	0.6010202	1.0088241
100	0.7549494	0.5333270	0.7513912	0.1440835	0.3786264	0.4282817	0.3496168	0.1365298	0.6467138	1.0573158
150	0.7285497	0.5665818	0.8397058	0.1538004	0.3658823	0.5268418	0.2782160	0.1105640	0.6593595	0.9366163
200	0.6888506	0.6051286	0.8179826	0.1321686	0.4698668	0.6334105	0.1962142	0.0520597	0.6957677	1.0820239
250	0.7521612	0.5885627	0.9256781	0.0809759	0.4640208	0.7554320	0.1955135	0.0419945	0.6461226	1.0900947
300	0.7076057	0.6370543	0.9245109	0.0642352	0.4762824	0.7431133	0.2020155	0.0122436	0.6069490	0.9634708
350	0.7029863	0.5664162	0.8492113	0.0355445	0.4726236	0.8376752	0.2129617	0.0074541	0.6683824	0.9806578
400	0.7283560	0.5941289	1.0131355	0.0319975	0.5240871	0.7882354	0.2061674	0.0080029	0.6443993	1.0246580
450	0.7998300	0.6574399	1.0391426	0.0518134	0.5226654	0.8391918	0.2019708	0.0062689	0.7063820	0.9782616
500	0.8137161	0.6925086	1.0894549	0.0362588	0.5724193	0.7696269	0.1841818	0.0030763	0.7190084	1.0234285
550	0.7976029	0.7007703	0.9601470	0.0290338	0.5045793	0.8024608	0.6640688	0.0119036	0.6332716	0.9607344
600	0.8321937	0.7344768	0.9886460	0.0355994	0.5372194	0.6040576	0.9208814	0.0213396	0.6813655	0.9805785
650	0.8090364	0.6847579	0.9826136	0.0280469	0.4859519	0.4447552	0.9913957	0.0198713	0.6711357	0.9678112
700	0.8424922	0.7382318	0.9980286	0.0277006	0.4726911	0.3846165	1.0122008	0.0217246	0.6710832	1.0380262
750	0.8140094	0.7922189	0.8983411	0.0263740	0.4136063	0.3445777	0.9881228	0.0339751	0.6334857	1.0151813
800	0.7754935	0.6987392	0.9638818	0.0535479	0.3174831	0.3630884	0.9400206	0.0370795	0.6275582	1.0426358
850	0.8848131	0.6479034	0.9838355	0.1246839	0.3407984	0.3679882	0.9638575	0.0475963	0.6379331	1.0007598
900	0.8249815	0.7195193	0.9097970	0.1371994	0.3549833	0.3930214	0.9170815	0.0856210	0.6495749	0.9341846
950	0.8543114	0.6419113	0.8313522	0.1772810	0.3096014	0.3793689	1.0404326	0.1387223	0.6324130	1.0024910
1000	0.8773487	0.6611186	0.9162232	0.2134284	0.3010598	0.4069224	1.0474420	0.1518656	0.6315876	1.0638498

0	0.7402743	0.6126633	0.7452488	0.2926981	0.3132555	0.3812805	1.0453552	0.3746819	0.6660419	0.9932162
50	0.7893479	0.5981828	0.6996305	0.2665321	0.3823403	0.4379866	0.9746663	0.3030427	0.1493889	0.4111664
100	0.7631166	0.5724645	0.6794030	0.1930398	0.4622391	0.3775487	1.0016561	0.2716437	0.0483021	0.3248884
150	0.7280641	0.5613158	0.8384774	0.1176853	0.4071113	0.3801978	0.9696857	0.1874499	0.0137538	0.3229784
200	0.7863160	0.6086256	0.7730053	0.1133466	0.3795351	0.3946730	0.9774772	0.1476897	0.0089579	0.2616448
250	0.7978466	0.6398909	0.8695759	0.0685640	0.4250215	0.3715118	0.9744983	0.1240966	0.0089228	0.2729250
300	0.8142437	0.5812044	0.9128929	0.0718876	0.4272716	0.3578273	1.0041131	0.1027270	0.0170426	0.3262100
350	0.7434635	0.5622416	0.9549803	0.0531846	0.3927995	0.3636940	1.0892133	0.0655783	0.0099130	0.3114396
400	0.8240982	0.5911141	0.9551823	0.0523833	0.4463187	0.3414454	1.0540820	0.0465079	0.0132315	0.3048832
450	0.7807487	0.6287212	1.0088747	0.0681494	0.3960610	0.3126866	1.0720672	0.0379148	0.0129506	0.3449500
500	0.7521552	0.6626210	0.9153781	0.0749070	0.3925307	0.3638787	1.1226228	0.0467541	0.0085483	0.3354543
550	0.8541244	0.7164441	0.9566216	0.0920340	0.3311017	0.3203425	1.2180242	0.0382304	0.5030507	0.8588471
600	0.7648563	0.6556932	0.8950566	0.1206615	0.3388939	0.2969465	1.1269105	0.0832297	0.6129767	0.9206685
650	0.7432249	0.6075707	0.8712206	0.1558312	0.2608232	0.3911749	1.0019704	0.1407416	0.6073489	0.9297870
700	0.6976991	0.6239783	0.8961977	0.2329075	0.2767969	0.3269230	1.0016490	0.1956367	0.7087040	0.9006797
750	0.7665076	0.6159664	0.8234518	0.3003318	0.2877183	0.3407418	0.9244395	0.2706099	0.7022932	0.9281161
800	0.8869494	0.5967652	0.7055981	0.2760481	0.3045751	0.3513333	0.9866252	0.3211235	0.6867523	1.0373885
850	0.7742596	0.5493787	0.6994570	0.2797488	0.2540992	0.3937100	0.9911527	0.3660068	0.6386783	1.0246461
900	0.7258599	0.5065445	0.6940871	0.2414902	0.2825414	0.3733074	1.0104740	0.3866748	0.6262676	0.9834031
950	0.7103087	0.4842028	0.6650369	0.2336381	0.2632016	0.4078332	1.0298393	0.3677201	0.7093211	0.9863655
1000	0.7113572	0.4924055	0.7038039	0.2625682	0.2822761	0.3964699	1.0076721	0.4226822	0.6270690	1.0686463

0	0.7402743	0.6126633	0.7452488	0.2926981	0.3132555	0.3812805	1.0453552	0.3746819	0.6660419	0.9932162
50	0.7835395	0.4934472	0.6417531	0.3130809	0.2529885	0.2453454	1.0786061	0.4686097	0.6332664	1.0305229
100	0.7942318	0.4753400	0.6317940	0.2657032	0.2275307	0.2272804	0.9951828	0.3828595	0.5852561	0.9577636
150	0.7007118	0.4791604	0.7428486	0.3497781	0.1823616	0.2075047	0.9833708	0.4036701	0.5962802	1.0720270
200	0.6744093	0.6021949	0.6415234	0.3588203	0.2019315	0.2362204	1.0427756	0.5040077	0.6710650	1.0617708
250	0.8280042	0.4516346	0.6096736	0.3705994	0.1621647	0.2274165	1.0271678	0.5551705	0.6263344	1.0678056
300	0.7509130	0.3975404	0.6047021	0.4658248	0.1349137	0.1816046	0.9621735	0.6905037	0.6034143	1.0046761
350	0.8118061	0.4738478	0.5853891	0.4976305	0.1365088	0.1940261	0.9395051	0.7448596	0.4889648	0.9223789
400	0.7610326	0.4429076	0.5690909	0.4874080	0.1807876	0.2265491	0.9041103	0.8160604	0.4890021	0.9503049
450	0.7480746	0.4256634	0.5122250	0.4279544	0.1841355	0.1978852	1.0406435	0.7734824	0.4418343	0.9496103
500	0.6969801	0.4203548	0.5369322	0.4460313	0.1503433	0.1695880	1.0406831	0.7537065	0.4512359	1.0408589
550	0.5794881	0.4339855	0.5876314	0.4740879	0.1321170	0.3414204	0.9864837	0.7629758	0.4923710	0.9892045
600	0.6118922	0.3672149	0.5252932	0.4656395	0.1855406	0.4060036	1.0195814	0.8291265	0.4479326	0.9607992
650	0.5810948	0.3307233	0.5366040	0.4795624	0.2693411	0.3599338	1.0145221	0.8083433	0.4252150	0.9682616
700	0.6279886	0.3328721	0.5147480	0.4648032	0.2943945	0.3229455	1.0791199	0.7471106	0.4434431	0.9816900
750	0.5271170	0.3205790	0.5087261	0.4132874	0.3070873	0.3616556	1.1075928	0.6535124	0.5498109	1.0252134
800	0.4822915	0.3998396	0.5308043	0.3623181	0.2938215	0.3452239	1.0336318	0.6589078	0.5555816	1.0038165
850	0.4552258	0.4219634	0.5899436	0.3618498	0.2620955	0.3556078	1.0768900	0.4803812	0.5936187	0.9790017
900	0.5422842	0.4744788	0.6033887	0.3277005	0.3433192	0.3608894	1.0109052	0.4660332	0.6327658	1.0176492
950	0.5578876	0.4523748	0.7511512	0.2457839	0.3108715	0.2951716	1.0543451	0.3974344	0.7549754	0.9816765
1000	0.5993829	0.5064758	0.7577106	0.2686926	0.2743400	0.3307853	0.9415090	0.3789851	0.6751595	0.9918654

0	0.7402743	0.6126633	0.7452488	0.2926981	0.3132555	0.3812805	1.0453552	0.3746819	0.6660419	0.9932162
50	0.7516329	0.5780015	0.1895926	0.1860662	0.3097686	0.3362735	1.0711891	0.2698027	0.4504383	0.5096754
100	0.7243291	0.4226437	0.1243514	0.2464014	0.2990417	0.3829882	0.9951698	0.2384785	0.3842310	0.2947507
150	0.6817142	0.3541570	0.1079079	0.2618270	0.2890130	0.3515723	0.9329331	0.3050256	0.4112746	0.2863715
200	0.6158677	0.3256058	0.0833840	0.2634382	0.3294240	0.4144401	0.9912734	0.3311605	0.3929067	0.2863059
250	0.4352114	0.3052722	0.0713980	0.2341430	0.3478377	0.3885276	1.0289672	0.3329782	0.4159377	0.2654378
300	0.4514377	0.3639214	0.0678893	0.1674025	0.2985346	0.3761490	0.9298473	0.3044158	0.4285221	0.2750848
350	0.4411666	0.2858564	0.0760870	0.2239353	0.3597892	0.3942602	0.9567190	0.3165331	0.4501265	0.2293311
400	0.3830285	0.3395032	0.0749142	0.2988706	0.3202120	0.3384145	0.8706768	0.3324688	0.4719903	0.2558111
450	0.3847829	0.3263095	0.1136050	0.2496442	0.3003587	0.3875645	0.9086425	0.2967814	0.4880911	0.2364441
500	0.4290323	0.3280674	0.1089573	0.1909732	0.3210661	0.3948885	0.9912970	0.3144038	0.4801332	0.2420954
550	0.4380071	0.2465066	0.7188395	0.2187335	0.3065812	0.3916025	1.0024221	0.2832791	0.6960735	0.7216005
600	0.4812518	0.3845831	0.7686829	0.1950920	0.4060899	0.3753898	1.0263253	0.3333897	0.7599527	0.9359145
650	0.4321293	0.4581023	0.7533072	0.2001829	0.3246761	0.3575803	0.9683854	0.2928192	0.7312293	0.9186702
700	0.5182689	0.5213844	0.7781020	0.2807356	0.3257798	0.3923328	0.9551339	0.2865277	0.7811368	0.9522710
750	0.5358807	0.5039748	0.7275541	0.2685458	0.3150172	0.3821819	0.9702297	0.2870488	0.7631326	1.0074303
800	0.6310855	0.5441532	0.7428410	0.2521735	0.2910206	0.3958996	0.9822384	0.3441061	0.7165519	0.9431256
850	0.6963099	0.5061985	0.7061233	0.2174940	0.3127158	0.3277079	1.0417243	0.3955687	0.7159828	0.9762754
900	0.6308791	0.5141991	0.7031296	0.2336598	0.2856070	0.3750089	1.0192113	0.4156145	0.7104355	1.0153753
950	0.7614878	0.4827835	0.6875491	0.2303399	0.2930682	0.3477057	0.9669388	0.4281594	0.6513959	0.9077461
1000	0.6767694	0.5102075	0.7409003	0.3219792	0.3187097	0.3305161	0.9972821	0.4402995	0.6199968	0.9801669

0	0.7402743	0.6126633	0.7452488	0.2926981	0.3132555	0.3812805	1.0453552	0.3746819	0.6660419	0.9932162
50	0.9389707	0.5244027	0.8132033	0.0707480	0.2992490	0.3749080	0.5079265	0.2762864	0.1763093	0.5557693
100	0.9680465	0.6454595	0.8729293	0.0345134	0.2576233	0.4619659	0.2716701	0.1871922	0.0766487	0.4125956
150	0.8641527	0.6993463	0.9592389	0.0085752	0.2868022	0.6090460	0.1677383	0.1451781	0.0444912	0.3925116
200	0.9449974	0.7102173	1.0440408	0.0014504	0.4181830	0.6913588	0.1249654	0.1360329	0.0508504	0.4108591
250	0.9007360	0.6579335	1.0236984	0.0001368	0.5015220	0.8288002	0.1056114	0.0830303	0.0571066	0.3484057
300	0.9270489	0.6119423	0.9177948	0.0016900	0.5579010	0.8918939	0.0729062	0.0292911	0.0585900	0.3521940
350	0.8364992	0.5996586	0.9675555	0.0008364	0.5920211	0.9595864	0.0856512	0.0056002	0.0485580	0.3284683
400	0.8562363	0.6188565	0.9152875	0.0001383	0.6118635	0.9465689	0.1045150	0.0078891	0.0610839	0.3417923
450	0.9172444	0.6481341	1.0289558	0.0007672	0.6734025	0.8768713	0.1186440	0.0049601	0.0526765	0.3690089
500	0.8869339	0.6771793	0.9612602	0.0000000	0.6356393	0.9592289	0.1062045	0.0071325	0.0555483	0.3867446
550	0.8730784	0.6384331	0.9551800	0.0235129	0.6316970	0.8698615	0.6731987	0.0085150	0.4645698	0.8064074
600	0.8738274	0.6243233	0.9769224	0.0103829	0.6745033	0.6629500	0.8725126	0.0089755	0.5423029	0.9259289
650	0.8319161	0.7025228	1.0504624	0.0301999	0.5318377	0.4774900	0.9331839	0.0098253	0.6355709	1.0238910
700	0.8859347	0.6954094	1.0746518	0.0342554	0.4502334	0.4529323	0.9672115	0.0204674	0.6740695	1.0414536
750	0.7593646	0.7725741	1.0483955	0.0391907	0.4457361	0.4714944	0.9395241	0.0210851	0.6521008	1.0495089
800	0.8334733	0.7239384	0.9670131	0.0566216	0.3761466	0.4136358	0.9659539	0.0216744	0.6120897	0.9975332
850	0.9116166	0.6551053	0.9756050	0.0817936	0.2955293	0.4174771	0.9517692	0.0236991	0.6072342	1.0065648
900	0.8580856	0.6705911	0.8982955	0.1177466	0.3199907	0.4507087	0.9214709	0.0397555	0.6235090	1.0178538
950	0.8381159	0.7107339	0.8911281	0.1455234	0.3198123	0.3455274	0.9433817	0.1029012	0.6623038	1.0807323
1000	0.7791603	0.7294651	0.8676589	0.1676166	0.2604413	0.3812346	0.9918769	0.1011378	0.7241655	0.9771446

0	0.7402743	0.6126633	0.7452488	0.2926981	0.3132555	0.3812805	1.0453552	0.3746819	0.6660419	0.9932162
50	0.7922155	0.4740409	0.7599658	0.1057984	0.2829052	0.3270325	1.0326418	0.1953427	0.5797110	0.9589672
100	0.6956572	0.5200060	0.8202697	0.0446696	0.2579435	0.3505031	1.0730421	0.1132220	0.5300054	1.0080480
150	0.6937917	0.5589559	0.8117583	0.0352350	0.2688922	0.3415686	1.0514012	0.0463630	0.5342990	1.0469992
200	0.7703313	0.5557552	0.9695561	0.0143231	0.2708474	0.4132996	1.0386268	0.0478070	0.6005661	0.9604913
250	0.7203436	0.6358382	0.9257777	0.0158453	0.2443122	0.3530196	1.0045170	0.0359254	0.5221143	0.9869568
300	0.7335014	0.7117346	1.0147860	0.0184361	0.2533662	0.3704826	0.9558824	0.0354265	0.5542114	1.0031292
350	0.6645301	0.7208521	1.0181578	0.0230124	0.2683558	0.3926062	0.9742709	0.0336586	0.5586132	1.0590523
400	0.7374623	0.6956138	0.9445749	0.0144504	0.3158402	0.4136870	0.9866727	0.0215886	0.5354256	1.0058855
450	0.7841134	0.6725020	0.9460904	0.0091320	0.3534998	0.3870816	1.0100684	0.0079195	0.5275654	0.9816078
500	0.7853372	0.6415633	0.9770208	0.0067698	0.3347281	0.4353149	1.0153796	0.0042720	0.4949399	1.0080318
550	0.8033034	0.6880371	1.0354180	0.1158924	0.2571554	0.3783087	1.0015606	0.0551492	0.5932567	0.9980548
600	0.8202986	0.7116433	0.9886741	0.2041570	0.2734000	0.3357115	1.0320361	0.1198681	0.6612878	0.9611196
650	0.8138937	0.7586541	0.9192453	0.2315316	0.2884221	0.3432859	1.0999608	0.2114265	0.6738282	0.9195315
700	0.8304917	0.6454294	0.7441928	0.2742342	0.2988241	0.4015489	1.0779821	0.2523626	0.7070998	0.9902815
750	0.7759865	0.5709156	0.8482663	0.2841690	0.2867025	0.3629476	1.0054064	0.2643476	0.7690030	1.0699080
800	0.7973882	0.6187986	0.7992779	0.2770891	0.2994750	0.3889602	1.0335626	0.3654646	0.6548357	1.0365608
850	0.7209295	0.6169720	0.7142984	0.2600455	0.3283888	0.3356587	0.9940964	0.3567687	0.6794228	1.0760251
900	0.7544021	0.5352165	0.6852745	0.2131740	0.3216545	0.3692532	0.9187256	0.3197081	0.5923962	1.0112565
950	0.6791919	0.5685105	0.7026492	0.1927267	0.3075407	0.3370397	1.0011276	0.3566612	0.6493776	0.9819361
1000	0.7326082	0.4819356	0.8029360	0.1673866	0.3191625	0.3972363	1.0133075	0.3327938	0.5972882	1.0412017

0	0.7402743	0.6126633	0.7452488	0.2926981	0.3132555	0.3812805	1.0453552	0.3746819	0.6660419	0.9932162
50	0.7310874	0.5999722	0.4685313	0.2766490	0.2965436	0.4119881	1.0691248	0.3439124	0.6214083	0.9105873
100	0.7064231	0.4821801	0.4605978	0.2826574	0.3309356	0.3593854	0.9417033	0.3409810	0.6728443	0.7673819
150	0.6870492	0.4693746	0.4344695	0.2995545	0.3364102	0.3534156	0.9982441	0.3507166	0.7016157	0.7778822
200	0.6683071	0.4550095	0.4499966	0.2048206	0.2921652	0.3907160	0.9521741	0.2800658	0.7143158	0.7672963
250	0.6807461	0.4890076	0.4874199	0.2300367	0.2831618	0.4209044	0.9656497	0.3145851	0.7026872	0.8036946
300	0.6942299	0.5004927	0.4914683	0.2541438	0.3467054	0.4493078	0.9240050	0.2453972	0.6276749	0.8437662
350	0.6588912	0.5516880	0.4152441	0.2554839	0.3702489	0.4401472	0.9723157	0.2354377	0.6994071	0.7739189
400	0.6160915	0.5728020	0.4744680	0.2527084	0.3649630	0.3726994	1.0071155	0.2538133	0.6780305	0.7691044
450	0.6427721	0.5041890	0.5722223	0.2219814	0.3721434	0.3843925	0.9466126	0.2497497	0.6848004	0.7468078
500	0.7375778	0.5903124	0.5633363	0.1813667	0.3605645	0.4112352	1.0037972	0.2260733	0.6518884	0.8176377
