YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.0000062	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
1.0000000	0.0000044	0.9998130	0.9752161	0.0397665	0.0494377	0.0417463	0.2527618	0.9999997	0.9999879
1.0000000	0.9367623	0.0000008	0.9751999	0.0397759	0.0494439	0.0417523	0.2527693	0.9999994	0.9999879
1.0000000	0.9367578	0.9996738	0.0000029	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
1.0000000	0.9367578	0.9996738	0.9585461	0.0000038	0.0565369	0.0619039	0.3040388	0.8321588	0.9999414
1.0000000	0.9367578	0.9996738	0.9585462	0.0488367	0.0000025	0.0619038	0.3040387	0.8321588	0.9999414
1.0000000	0.9367633	0.9996738	0.9585475	0.0488360	0.0447911	0.0000004	0.3040349	0.8321684	0.9999999
1.0000000	0.9367635	0.9996738	0.9999998	0.0289969	0.0459917	0.0236150	0.0000039	0.8321683	0.9999988
1.0000000	0.6858408	0.0495913	0.4287410	0.5475469	0.8706333	0.8564906	0.9999994	0.0000000	0.3158662
1.0000000	0.0678547	0.9998128	0.9751733	0.0397916	0.0494527	0.0417695	0.2528188	0.9997773	0.0000000
