YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0000000	0.8411345	0.6003977	0.6959738	0.0370937	0.1549410	0.5021964	0.3550288	0.9378395	0.6490618
0.6430652	0.0000000	0.7135926	0.7473972	0.0556092	0.1634455	0.7907975	0.2312058	0.7599102	0.6668428
0.2319932	0.0628688	0.0000000	0.6378647	0.0308547	0.1248444	0.7273363	0.2853934	0.8285204	0.8932571
0.2436160	0.0252028	0.0064143	0.0000000	0.0581175	0.1151883	0.5073257	0.4080563	0.6647737	0.7610231
0.5164396	0.7745588	0.6930590	0.7971473	0.0000000	0.0979071	0.7038656	0.2421105	0.6789950	0.7173050
0.6536720	0.7400438	0.7260476	0.7888194	0.0259581	0.0000000	0.6961269	0.2432912	0.7978046	0.6886136
0.7456473	0.7075852	0.5791746	0.3850803	0.6167535	0.8343362	0.0000000	0.4062056	0.3863296	0.6938342
0.6558237	0.7870985	0.7122349	0.6967312	0.0455347	0.1129435	0.7530869	0.0000000	0.7434186	0.8564144
0.6514029	0.6968233	0.7869841	0.6371342	0.0681272	0.2128330	0.5169532	0.5455270	0.0000000	0.6997781
0.5486068	0.7539896	0.8081892	0.7231337	0.0337547	0.0699812	0.7314169	0.3791504	0.8094337	0.0000000
