YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0000000	0.0039142	0.9314141	0.3907410	0.8657126	1.1586845	0.1380904	0.3696037	0.6888922	0.3994185
0.1365435	0.0000000	0.7947534	0.4859017	0.7877547	1.0322816	0.0874850	0.3699846	0.6536187	0.4833553
1.0290406	0.9844183	0.0000000	0.2579350	1.0351167	0.9160836	0.1229447	0.3333294	0.8706596	0.9443620
0.1006059	0.0072205	0.9882030	0.0000000	0.8256107	0.9692958	0.0667474	0.4287214	0.5326106	0.4286380
1.0144464	0.9007097	0.0983091	1.0791971	0.0000000	0.8964767	0.0992739	0.2651245	0.8678589	0.8245757
0.1293327	0.0070602	0.7947199	0.5372679	0.7256465	0.0000000	0.1014542	0.4129575	0.6559144	0.4247427
0.0980138	0.0063862	0.8215774	0.5116137	0.7463451	0.9552298	0.0000000	0.3378617	0.7169119	0.4650316
0.0946908	0.0138497	0.9784354	0.2817971	0.9112740	0.0376876	1.0620069	0.0000000	0.6445527	0.3598760
0.2158446	0.0326870	0.4074574	0.7786475	0.5653312	1.0040458	0.1301620	1.1102424	0.0000000	0.6940374
0.8301779	0.1845481	0.3620197	0.6925589	0.6279875	1.0432182	0.0858827	0.9137381	0.0356692	0.0000000
