YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.4282097	0.1413590	0.2074734	0.3252830	1.0631145	0.0470218	0.4271298	1.0635440	0.0695296	0.7155944
0.9872103	0.0612279	0.2328944	0.3070330	1.0226455	0.0116811	0.4065913	0.9972139	0.0857887	0.6614589
0.9344377	0.1257868	0.1424419	0.2931500	0.9639587	0.0236797	0.4094081	0.9774104	0.0988343	0.6541901
0.7865438	0.2563862	0.5953745	0.1212010	1.0254092	0.0191174	0.4295883	1.0091828	0.0931407	0.6806638
1.0224313	0.0891307	0.1013766	0.4763731	0.4937015	0.0323623	0.4098482	1.0099865	0.0944207	0.6233609
1.0515891	0.0971216	0.2590165	0.2594429	1.0251366	0.0216089	0.4217363	0.9432958	0.0719079	0.6687342
0.9043114	0.1121093	0.2272259	0.2095548	1.0355415	0.0459712	0.2682762	1.0004115	0.0721269	0.5508511
0.8858660	0.0893794	0.1934717	0.2621214	0.9519596	0.0217429	0.4808116	0.5790354	0.0928919	0.6664144
0.9660854	0.1093451	0.2033238	0.2854079	0.9945103	0.0259363	0.4935019	0.9066141	0.0481803	0.6939168
1.0262751	0.0950308	0.1883983	0.2650501	0.9599733	0.0833546	0.3591963	0.9938383	0.0704788	0.3665444
