YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000000	0.0459145	0.4031739	0.6270961	0.7677699	0.0108011	0.6784020	0.7453465	0.5872497	0.3593424
0.0888933	0.0000000	0.3532649	0.5342659	0.7157962	0.0110100	0.5765931	0.9524507	0.4988821	0.5006982
0.1131425	0.0460859	0.0000000	0.6012302	0.7565154	0.0182380	0.7586619	0.5220990	0.2907132	0.6822249
0.0994336	0.0453733	0.8362242	0.0000000	0.8173329	0.0079576	0.6937931	0.7374793	0.6248102	0.5127787
0.1082667	0.0197516	0.2681410	0.8382482	0.0000000	0.0117325	0.8006869	0.6279535	0.4873585	0.5394126
0.0859263	0.0437935	0.3806488	0.5451972	0.7606033	0.0000000	0.6501701	0.7046956	0.5834835	0.4869230
0.0780835	0.0272662	0.2918353	0.6049601	0.8441767	0.8291635	0.0000000	0.7568304	0.5514898	0.5261002
0.0987869	0.0370445	0.2906138	0.5632911	0.7910535	0.7249244	0.0050303	0.0000000	0.5029875	0.5263459
0.0965297	0.0547666	0.4561426	0.6926082	0.7371864	0.7177076	0.0024401	0.0261587	0.0000000	0.6667626
0.1415235	0.0562806	0.6666605	0.1660555	0.8260712	0.0125214	0.7033370	0.6952933	0.4376353	0.0000000
