YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.5337356	0.1740636	0.2770418	0.4793227	0.7666836	0.5836446	0.0799417	0.4189980	0.0762150	1.0551423
0.9450382	0.0450674	0.5100898	0.2278076	0.9755842	0.8404010	0.1562576	0.5068540	0.0915542	0.9719583
0.9553624	0.1261813	0.2528583	0.1951312	0.9369219	0.9351972	0.2168517	0.6021420	0.0904327	1.0262309
1.0022022	0.1509354	0.5142512	0.1125866	0.9279115	0.8757267	0.1577856	0.5327138	0.0830271	1.0394823
0.9429242	0.1470065	0.6563335	0.6979098	0.4915018	1.0132115	0.3642519	0.2871890	0.0800780	1.0067951
0.8850331	0.1655214	0.2147885	0.6843881	0.6708228	0.4730578	0.3746725	0.4124186	0.0935878	1.0493183
1.0305863	0.1613097	0.3298550	0.2499533	0.8414029	0.7051766	0.0767243	0.5528087	0.0816814	0.9764244
0.8639782	0.1424790	0.5542606	0.1990832	1.0807072	1.0074985	0.4268702	0.3028477	0.0974827	0.9748384
1.0396260	0.1323093	0.5150759	0.2144688	0.9464694	0.8392426	0.1564677	0.5670485	0.0591122	0.9677202
0.8904472	0.1443535	0.6515313	0.2324467	0.9534243	0.9547179	0.4960924	0.1487519	0.4737607	0.4964171
