YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.2439478	1.0000000	0.5253916	0.6488572	0.3781192	0.6417594	0.5688947	0.3236942	0.6287133	1.0000000
0.8734028	0.5000000	0.4848959	0.8945040	0.2335166	0.4306576	0.6433490	0.3377035	0.5869994	1.0000000
0.4878955	1.0000000	0.2264201	0.7460995	0.2828878	0.5006958	0.6153666	0.3323613	0.6024129	1.0000000
0.4878955	1.0000000	0.6248705	0.4119810	0.2828913	0.5006990	0.6153633	0.3323607	0.6024141	1.0000000
0.4878955	1.0000000	0.2772891	0.9959635	0.1195705	0.4384909	0.7302657	0.3370342	0.5888556	1.0000000
0.4878955	1.0000000	0.2756937	0.9989409	0.0925043	0.2176703	0.7355705	0.3603841	0.5274430	1.0000000
0.4878955	1.0000000	0.5019233	0.6830591	0.3400641	0.5838134	0.2931543	0.3269519	0.6186225	1.0000000
0.4878955	1.0000000	0.3457194	0.8858341	0.2344360	0.4319363	0.7412328	0.1687978	0.5873027	1.0000000
0.4878955	1.0000000	0.4749460	0.7177035	0.3145456	0.5463593	0.5011703	0.4877345	0.3057808	1.0000000
0.4878955	1.0000000	0.4557381	0.7420262	0.3004800	0.5260129	0.5578856	0.4071147	0.4282624	0.5000001
