YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.3928122	0.2067081	0.4168215	0.6912391	0.1296540	0.1780006	0.8810318	0.7785031	0.2612512	1.0080864
0.9080776	0.5360077	0.7429869	0.2045656	0.3939192	0.4860714	0.7570805	0.4098166	0.3485246	0.6809595
0.7590600	0.6833357	0.9205274	0.0168469	0.4618691	0.3405183	1.0015679	0.3269440	0.4401151	1.0124519
0.7588719	0.5487680	0.8094561	0.1333370	0.4124000	0.2085955	0.9805487	0.2382534	0.6550215	0.9654644
0.5132887	0.2901615	0.3393532	0.6240834	0.1462957	0.2499504	0.9230042	0.7750452	0.2195215	0.8970312
0.8315580	0.6745905	0.8335589	0.0343279	0.6619776	0.4244749	0.9722533	0.0032368	0.3195824	1.0573074
0.8101197	0.5650197	0.7895841	0.2247374	0.2632616	0.2694440	0.9485760	0.4735766	0.5508715	0.9985600
0.5643484	0.4563696	0.6556705	0.1395859	0.3458859	0.4566782	0.6678259	0.2338235	0.6580929	1.0201751
0.8294171	0.5866599	0.8610937	0.1140994	0.3311657	0.2863561	0.8576655	0.0769353	0.2396889	0.9659650
0.7981237	0.5976126	0.8159769	0.0092616	0.7328798	0.5975119	0.4602459	0.0038988	0.3421146	0.5060122
