YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000000	0.2203463	0.6762690	0.4727318	0.5751249	0.5515263	0.2974971	0.5859148	0.0702517	0.5803667
0.0570450	0.0000000	0.5525805	0.4742601	0.6322961	0.4634846	0.4108591	0.2622118	0.2391744	0.6802518
0.6189180	0.6166999	0.0000000	0.4114214	0.5239289	0.6479029	0.1980833	0.7226980	0.0862915	0.5909694
0.0392567	0.2228403	0.6656483	0.0000000	0.6207359	0.6647343	0.2470922	0.6832409	0.0752872	0.7059469
0.0835530	0.2634999	0.7195914	0.0806764	0.0000000	0.6549159	0.2245611	0.6984714	0.0612528	0.7739493
0.0378951	0.3196637	0.8097775	0.6964834	0.7934273	0.0000000	0.2284780	0.7622345	0.1022795	0.8047509
0.0510880	0.2952189	0.6944238	0.3279170	0.2958975	0.6848231	0.0000000	0.7827006	0.0462053	0.6463398
0.5256405	0.5750816	0.1595611	0.5259790	0.6945231	0.3624673	0.7535228	0.0000000	0.8066338	0.6127054
0.1026904	0.3224374	0.6123461	0.4743928	0.5210523	0.5621564	0.2902969	0.7910759	0.0000000	0.7810956
0.2825049	0.4852591	0.4163619	0.0994062	0.5018700	0.5439329	0.3855216	0.3432541	0.6389610	0.0000000
