YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000000	0.2409177	0.3641121	0.4015846	0.5063071	0.0608272	0.2889721	0.0564263	0.0755569	0.7270015
0.2772856	0.0000000	0.0463447	0.1601998	0.5403340	0.0778521	0.0338315	0.0459163	0.0417765	0.7276590
0.1744098	0.7170871	0.0000000	0.4008862	0.5796653	0.1452771	0.0067945	0.0739735	0.0590981	0.8423367
0.1975965	0.7987989	0.0318632	0.0000000	0.6872253	0.1070682	0.0149090	0.0510589	0.0812321	0.7922307
0.2315265	0.2740218	0.3584400	0.5069053	0.0000000	0.1199975	0.2262743	0.0978976	0.0479291	0.8329553
0.0517126	0.3130661	0.3596136	0.4891200	0.7226935	0.0000000	0.1710261	0.0441276	0.0439445	0.6770937
0.1819843	0.8213329	0.1664075	0.4566367	0.5596945	0.1063380	0.0000000	0.0428139	0.0488091	0.7550894
0.1843110	0.4904405	0.1927673	0.2980844	0.6169831	0.0682332	0.1752988	0.0000000	0.0597733	0.8092061
0.2526537	0.7972249	0.0401375	0.2845451	0.7111423	0.1173012	0.1215637	0.0549122	0.0000000	0.8057789
0.3004017	0.7112894	0.0844089	0.2590135	0.2374420	0.7144195	0.0136372	0.6354111	0.7530687	0.0000000
