YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.7117876	0.2529433	0.8541225	0.2084176	0.5291937	0.5127999	0.5609677	0.7498135	0.0783537	1.0096693
0.4782750	0.1807682	0.7056059	0.2688727	0.5293385	0.7728618	0.6238220	1.0099792	0.1550425	0.4863439
0.2410956	0.0842146	0.7935818	0.6419082	0.1581850	0.3461085	0.6089748	1.0138127	0.1184345	1.0592373
0.5019806	0.2775147	0.9915216	0.1671786	0.4563007	0.8184730	0.6876173	1.0469248	0.0186107	0.9633121
0.6030803	0.3148860	0.8277806	0.0477771	0.6131983	0.2972129	0.4453490	0.8827550	0.0918194	0.8986624
0.3742986	0.1588912	0.8930083	0.2676047	0.3885830	0.5354693	0.5775505	1.0442547	0.0950896	0.9042924
0.4584596	0.5711247	0.8889502	0.3420879	0.3546972	0.2585871	0.4865309	0.9682797	0.0217323	0.9905580
0.6236560	0.4635812	0.9859033	0.2482736	0.4836259	0.5832268	0.5756070	0.6834513	0.0803044	0.6590122
0.5348251	0.4022114	0.9423146	0.1963161	0.3411782	0.0974494	0.3810591	0.9555581	0.0330521	1.0360412
0.4415432	0.1484917	0.9712987	0.3095867	0.3947488	0.1876532	0.3460831	0.8901762	0.0506240	0.8054270
