YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0973148	0.4851350	0.6868906	1.0000000	0.6329978	0.9945937	0.0509772	0.1100146	0.0447180	1.0000000
0.7378448	0.2425696	0.6868856	0.9999922	0.6200055	0.9676990	0.0835086	0.1601746	0.1007320	1.0000000
0.0797253	0.8375153	0.3434458	1.0000000	0.6337583	0.9962985	0.0458269	0.0997955	0.0317868	1.0000000
0.0735977	0.9369974	0.2231925	0.5000000	0.6338562	0.9964557	0.0453356	0.0988014	0.0304774	1.0000000
0.1945054	0.4851350	0.6868905	1.0000000	0.3167654	0.9945937	0.0509772	0.1100146	0.0447180	1.0000000
0.1945054	0.4851350	0.6868905	1.0000000	0.2916494	0.4972998	0.0509772	0.1100146	0.0447180	1.0000000
0.1945054	0.4851350	0.6868906	1.0000000	0.6352888	0.9995568	0.0254950	0.1100146	0.0447180	1.0000000
0.1945054	0.4851350	0.6868906	1.0000000	0.6351998	0.9992808	0.0292417	0.0550139	0.0447180	1.0000000
0.1945054	0.4851350	0.6868905	1.0000000	0.6341831	0.9971695	0.0426143	0.0929374	0.0223597	1.0000000
0.1945009	0.4851399	0.6868850	0.9999913	0.4732559	0.7283000	0.1607243	0.2453281	0.1911328	0.5000000
