YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.3711582	0.0554462	0.0063954	0.7457745	0.6428294	0.2680820	0.7698254	0.6310419	0.6772266	0.7580622
0.7506503	0.0501842	0.0055601	0.8119119	0.6829926	0.2990348	0.7330967	0.7890516	0.6259237	0.7284448
0.6688415	0.0646155	0.0006169	0.7425245	0.7494526	0.3097745	0.7347397	0.7931628	0.6816601	0.8717574
0.6745756	0.0381570	0.0109924	0.3315473	0.6490127	0.2320779	0.6461140	0.9323712	0.7324142	0.6757968
0.6731156	0.0587298	0.0027823	0.6905929	0.2818322	0.1266384	0.8100512	0.7911653	0.7519847	0.7145625
0.6321681	0.0319635	0.0009643	0.8795575	0.6875277	0.1470423	0.6895175	0.7308812	0.6955669	0.7407564
0.5114864	0.0563366	0.0051314	0.7089526	0.7911290	0.1222825	0.4386450	0.7980566	0.6407320	0.8661378
0.5100045	0.0486776	0.0036053	0.7292789	0.8178886	0.2621728	0.5044249	0.4308939	0.6405779	0.7777649
0.5285389	0.0616118	0.0054283	0.7475287	0.6414866	0.2716595	0.7184515	0.5597827	0.3949294	0.6202165
0.5773484	0.0689930	0.0104746	0.7744451	0.6353250	0.3188388	0.7255058	0.7149204	0.7030667	0.3330349
