YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0517197	0.4911053	0.7376114	0.0460246	0.0271641	0.8826034	0.6060765	0.0422314	0.1651702	0.0705267
0.4855530	0.2413104	0.7439122	0.0170777	0.2032418	0.4378716	0.7922182	0.0302829	0.2591658	0.2931780
0.7389010	0.1055557	0.3711059	0.0841463	0.3883063	0.3035489	0.8395389	0.0483218	0.4181371	0.5444905
0.1230349	0.6686235	0.7958152	0.0138721	0.1231581	0.7556917	0.6782744	0.0580339	0.1879523	0.0818205
0.1073623	0.4250583	0.7198488	0.0679023	0.0383305	0.5499638	0.8291950	0.0763240	0.1824443	0.1347983
0.1753639	0.5876707	0.7682526	0.1219287	0.4646095	0.2423305	0.8331856	0.0510078	0.1910220	0.0761229
0.0905431	0.6131552	0.7855008	0.0322655	0.1043460	0.8015411	0.3127460	0.0406820	0.2485959	0.0848589
0.0873920	0.5245600	0.8730304	0.0943080	0.0609304	0.6105203	0.7030921	0.0560396	0.2124408	0.1206740
0.1692167	0.6782424	0.7336221	0.0475171	0.0784004	0.6009637	0.8624359	0.0736948	0.0988756	0.0958286
0.0841246	0.5010403	0.9394234	0.0246763	0.0727470	0.8497619	0.6563352	0.0328833	0.1827071	0.0388122
