YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0000016	0.4391776	0.4672657	0.9652267	0.5233420	0.9799188	0.9694982	0.3938206	0.1681364	1.0000000
0.2142486	0.0000000	0.4408538	0.9999915	0.0204066	0.0042397	0.0374429	0.0015115	0.1655576	1.0000000
0.2144831	0.9999920	0.0000029	0.9630796	0.5294574	0.9951983	0.9989711	0.8883655	0.1682948	1.0000000
0.9999861	0.2858806	0.9999978	0.0000064	0.5293197	0.9948341	0.9987709	0.8511768	0.5323741	1.0000000
0.2142484	0.4535187	0.4408210	0.9999956	0.0000024	0.9809693	0.9728167	0.4057772	0.1655534	1.0000000
0.2142484	0.4535277	0.4408163	0.9999962	0.0202441	0.0000000	0.9728447	0.4058164	0.1655527	1.0000000
0.2142485	0.4534928	0.4408354	0.9999938	0.0204050	0.0042251	0.0000000	0.4056801	0.1655552	1.0000000
0.2142487	0.4534375	0.4408657	0.9999900	0.0204079	0.0042251	0.0374430	0.0000000	0.1655591	1.0000000
0.2142484	0.4535033	0.4408295	0.9999945	0.0204022	0.0042397	0.0374427	0.0015115	0.0000002	1.0000000
0.2144839	0.4383649	0.4689364	0.9629868	0.5296700	0.9957205	0.9992247	0.9499194	0.5146096	0.0000030
