YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0000000	0.0694775	0.0385939	0.8277568	0.0319675	0.0558566	0.1968338	0.4034470	0.2441522	0.9272775
0.0068039	0.0000000	0.0487412	1.0019488	0.0209978	0.0588049	0.1932956	0.6222103	0.2397690	0.9846640
0.0604877	0.0745800	0.0000000	0.9299451	0.0408808	0.0672700	0.1384540	0.4972066	0.2719147	0.9882494
0.0653978	0.0686874	0.0574164	0.0000000	0.0464212	0.0566156	0.1947895	0.1305381	0.2245422	0.9286174
0.0366930	0.0636856	0.0395257	1.0689269	0.0000000	0.0797926	0.2300870	0.6212574	0.1793457	1.0100085
0.0430660	0.0557609	0.0404743	0.8335610	0.0416428	0.0000000	0.2116514	0.5410628	0.2192134	1.0097441
0.0633349	0.0742617	0.0388684	0.9635879	0.0471952	0.9603083	0.0000000	0.5423471	0.2116912	1.0209701
0.0289839	0.0517591	0.0555595	0.8595112	0.0377705	0.0595848	0.2147664	0.0000000	0.2313110	0.9572077
0.0529522	0.0672335	0.0513079	0.8270034	0.0359235	0.0551026	0.9886385	0.4827656	0.0000000	1.0266157
0.0388323	0.0342568	0.0305619	0.9686050	0.0277512	0.6837931	0.0302385	0.7853447	0.9442341	0.0000000
