YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0000029	0.0788746	0.0459901	0.6850950	0.5154173	0.9545412	1.0000000	0.9999999	0.0506711	0.0976331
0.0194675	0.0000000	0.0459901	0.6850950	0.5154173	0.9545412	1.0000000	0.9999999	0.0506711	0.0976331
0.0309110	0.0684684	0.0000000	0.6850957	0.5154173	0.9545412	1.0000000	1.0000000	0.0499126	0.0950280
0.5614499	0.5378239	1.0000000	0.0000000	0.5154173	0.9545412	1.0000000	0.9926530	0.0625703	0.1244584
0.0321141	0.0715617	0.0199241	0.9999999	0.0000001	0.9545412	1.0000000	1.0000000	0.0502066	0.0960566
0.0321161	0.0715747	0.0199808	0.9985317	0.0270520	0.0000000	1.0000000	1.0000000	0.0502074	0.0960599
0.0321147	0.0715745	0.0199808	0.9985318	0.0270520	0.0426157	0.0000000	1.0000000	0.0502073	0.0960599
0.0351331	0.0788746	0.0459901	0.6850950	0.5154173	0.9545412	1.0000000	0.0000000	0.0849178	0.1519612
0.0351331	0.0788746	0.0459901	0.6850950	0.5154173	0.9545412	1.0000000	0.9999999	0.0000000	0.0976331
0.0351330	0.0788746	0.0459901	0.6850950	0.5154173	0.9545412	1.0000000	1.0000000	0.0431326	0.0000001
