"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.5794247	0.8375578	0.4661848	0.9524234	0.3320366	0.4769083	0.9908491	0.7721147	0.6035644	0.9992969
50	0.4702761	0.3388065	0.4960931	0.6187765	0.3080284	0.4268178	0.9207272	0.3362338	0.7403248	0.8013237
100	0.3123355	0.1712062	0.5528000	0.4985502	0.3046659	0.5102965	0.8502520	0.2506152	0.8391902	0.7988342
150	0.1720609	0.1750340	0.5763356	0.4539459	0.3483155	0.5126076	0.8321142	0.2940332	0.8342799	0.6860279
200	0.1164025	0.1360409	0.7180261	0.4710836	0.2811800	0.4682996	0.9467492	0.2484568	0.9197941	0.6503407
250	0.0965558	0.1533490	0.7062705	0.4551250	0.3228723	0.4765546	0.9743486	0.3551952	0.8975539	0.6262481
300	0.0712618	0.1357615	0.7152054	0.4077068	0.2945108	0.4974109	0.9228930	0.3017520	0.9222430	0.6871558
350	0.0703543	0.1430964	0.6994860	0.4809528	0.2509309	0.4624099	0.9446179	0.2820669	0.9462141	0.6852199
400	0.0467015	0.1178027	0.6842646	0.4528141	0.2531680	0.5286065	0.9660386	0.3116667	0.8426941	0.6970254
450	0.0292611	0.1173036	0.7492041	0.4601522	0.2824430	0.5521459	1.0860531	0.2566730	0.8499612	0.6538088
500	0.0554811	0.1074971	0.8331249	0.4678989	0.3359845	0.5554822	1.0452216	0.3016556	0.8362746	0.6738930
550	0.0961964	0.4370051	0.7049308	0.7959907	0.3197037	0.6103499	0.9220385	0.6441535	0.4965213	0.8911755
600	0.1976171	0.5061123	0.6425819	0.8999844	0.3257302	0.5320686	0.9442920	0.7086358	0.5863227	0.9873672
650	0.2588353	0.5764877	0.5561422	0.8896026	0.2912906	0.5567153	1.0397645	0.7045943	0.5428714	0.9885076
700	0.3134286	0.7015056	0.4576378	0.9324056	0.3090011	0.5465635	1.0200663	0.8138141	0.5791098	1.0636752
750	0.4634081	0.8905855	0.4190771	0.9625161	0.3526379	0.5606600	1.0374598	0.7369930	0.6225259	1.0520260
800	0.5253065	0.8536213	0.4424311	0.9099844	0.3793698	0.5802999	0.9755395	0.7904238	0.5364511	0.9735809
850	0.5836809	0.8835073	0.4951122	0.9009370	0.3692321	0.5880116	0.9892833	0.8072593	0.6057172	1.0612673
900	0.5909843	0.8075998	0.4895423	0.8714564	0.3740962	0.5327682	0.9803187	0.7701061	0.5976503	1.0718954
950	0.4474629	0.8023019	0.4500280	0.9057508	0.3610646	0.4748468	0.9557943	0.7005624	0.5289047	1.0444718
1000	0.5252353	0.7605338	0.5039361	0.8373163	0.2860019	0.5726947	1.1301138	0.7216240	0.5921545	0.9697431

0	0.5794247	0.8375578	0.4661848	0.9524234	0.3320366	0.4769083	0.9908491	0.7721147	0.6035644	0.9992969
50	0.5820419	0.8378276	0.4552724	0.9589904	0.3168481	0.5181907	0.9930630	0.7576693	0.5578030	0.9138578
100	0.6047492	0.7639704	0.4619230	0.9340756	0.3551516	0.5640685	0.9906131	0.5986797	0.5207997	0.9981274
150	0.5861489	0.8825472	0.5039620	0.9366079	0.4153985	0.5283463	0.9697516	0.6542597	0.5393523	0.9464379
200	0.6091219	0.8546207	0.4781892	0.8799483	0.3908200	0.5297643	0.9601636	0.6438229	0.5743512	1.0040111
250	0.5428860	0.8567189	0.4537074	0.8809321	0.3829041	0.5516989	0.9049374	0.6264261	0.5795504	1.0256295
300	0.5601649	0.7527277	0.4250319	0.9142291	0.3238145	0.5382674	0.9010515	0.6621893	0.5863915	1.0079002
350	0.5274993	0.7341128	0.4449025	0.9604271	0.3237140	0.5355202	0.8876618	0.6089667	0.5536885	0.9577033
400	0.5096466	0.8695706	0.5345808	0.9631179	0.3118886	0.5205070	0.9399817	0.5656214	0.6267664	1.0039457
450	0.5612540	0.8059329	0.4918897	1.0223621	0.2838815	0.5617152	0.9364836	0.6217711	0.5102121	0.9517335
500	0.5153478	0.7723080	0.4116945	0.9486074	0.3275222	0.5227991	0.9464471	0.5705360	0.5004724	0.9755797
550	0.5936372	0.7760916	0.4515056	0.9494118	0.2800435	0.5089988	0.8785853	0.6660661	0.5446434	1.0630500
600	0.5606047	0.8305532	0.4697447	0.9713608	0.3083592	0.5167941	0.8947909	0.7483477	0.5632759	0.9010584
650	0.6033624	0.8904015	0.4501331	0.9540920	0.3491032	0.5735198	1.0574929	0.8616665	0.5203370	0.9860976
700	0.5519153	0.8503216	0.5066833	0.9802420	0.3434015	0.5345107	0.9954668	0.8311954	0.5145560	0.9820301
750	0.6328007	0.8980493	0.5135440	0.9895852	0.3710495	0.5194910	1.0001389	0.7705089	0.4882130	0.9578722
800	0.6514055	0.8250066	0.4739889	0.9668572	0.3215318	0.5982003	0.9963247	0.7269808	0.5053472	1.0027960
850	0.5921193	0.7865291	0.4765861	0.9463366	0.3605312	0.4859325	0.9601393	0.7724874	0.5117333	0.9922975
900	0.5322155	0.7606606	0.4525721	0.9832203	0.3975623	0.5720865	0.8961043	0.7720550	0.5648844	1.0617869
950	0.5525561	0.7687215	0.4406023	0.9219009	0.3066456	0.5025504	0.8927012	0.7598945	0.4765365	0.9462638
1000	0.5307825	0.8585610	0.5237144	0.8379708	0.3137050	0.5426950	0.8913335	0.7956153	0.5459356	1.0614847

0	0.5794247	0.8375578	0.4661848	0.9524234	0.3320366	0.4769083	0.9908491	0.7721147	0.6035644	0.9992969
50	0.6625290	0.8152121	0.3659841	0.9644681	0.2438421	0.5056264	0.9765124	0.7884109	0.5353420	0.6105699
100	0.7021317	0.9661403	0.3882130	0.9397381	0.2961512	0.5493138	1.0601231	0.8080157	0.4482320	0.5755728
150	0.6927757	0.9024488	0.3412717	1.0105775	0.2922463	0.5030622	0.9999596	0.8971024	0.4647867	0.5514881
200	0.7399927	0.8568956	0.3950845	0.9944090	0.3686727	0.5301167	0.9843635	0.8646290	0.3792051	0.5490483
250	0.7404166	0.8728176	0.3450613	1.0273497	0.3290245	0.4624340	0.9366241	0.8885968	0.3816900	0.5400834
300	0.8138791	0.8828659	0.3427979	0.9650872	0.3374283	0.5428578	0.9072434	0.8760912	0.3572116	0.5190963
350	0.7814077	0.9649451	0.3421245	0.9607570	0.3385184	0.4726769	1.0232137	0.9095488	0.3704897	0.5377284
400	0.8186357	0.9620392	0.3510511	0.8393092	0.3808309	0.5009457	0.9008730	0.8710647	0.3803278	0.5326891
450	0.8282068	0.8170541	0.3065764	0.9036121	0.3560493	0.4894939	0.9551350	0.9041739	0.3236174	0.5197885
500	0.7402785	0.9356959	0.3153465	0.9955850	0.2987077	0.4075581	0.9778540	0.9254814	0.2844943	0.5568008
550	0.6131678	0.8957350	0.4239804	0.9633551	0.3044423	0.4513866	1.0294050	0.9245643	0.3528008	0.8507849
600	0.4892914	0.9115751	0.4634730	0.9503069	0.3071287	0.4973907	0.9573087	0.7946088	0.3703554	0.9029378
650	0.5866271	0.8374147	0.4374918	0.8869142	0.2978246	0.5530053	1.0244417	0.7297212	0.4418223	1.0068612
700	0.5670734	0.8307699	0.4432108	0.8957822	0.3429062	0.5062758	0.9784736	0.7465300	0.4796708	1.0036674
750	0.6003918	0.8209528	0.4664649	0.8828229	0.3070029	0.5241243	1.0191155	0.7361180	0.5235040	1.0599054
800	0.5199647	0.7143436	0.5587851	0.9160602	0.3052388	0.6155761	0.9279206	0.7256200	0.5830741	1.0587950
850	0.5092350	0.7032050	0.4865617	0.9371618	0.3200237	0.5776327	0.9121613	0.6833112	0.5871811	0.9256425
900	0.4954866	0.7499048	0.4610755	0.9959448	0.2993541	0.6192223	0.9233935	0.6927111	0.5634841	0.9800782
950	0.5593866	0.8240233	0.4385691	0.9618396	0.2949395	0.5078247	0.9386164	0.7552109	0.5017255	0.9582074
1000	0.4965778	0.8237422	0.4667754	0.9944102	0.3356829	0.5383795	0.9893918	0.7999871	0.5601966	1.0512673

0	0.5794247	0.8375578	0.4661848	0.9524234	0.3320366	0.4769083	0.9908491	0.7721147	0.6035644	0.9992969
50	0.5953405	0.7553009	0.4941420	0.3775300	0.6431959	0.5165769	0.4840431	0.3948752	0.6923380	1.0935222
100	0.5526367	0.6858052	0.6403551	0.1593366	0.7452199	0.3511168	0.3324038	0.3362338	0.7721566	1.0164314
150	0.5506534	0.6312235	0.8242150	0.0922744	0.8590838	0.1620004	0.2333423	0.3379399	0.6855480	1.0232010
200	0.4437280	0.5626484	0.8954761	0.0591431	0.9032375	0.0911630	0.2091500	0.3049218	0.7160307	0.9875855
250	0.3459628	0.4025342	0.9022134	0.0777026	0.9032958	0.0554409	0.2086763	0.3372629	0.7769752	0.9480613
300	0.2760196	0.4390904	0.9802799	0.0660947	0.8609174	0.0662726	0.2798033	0.3819234	0.7525407	1.0003874
350	0.2342396	0.3867967	0.9518299	0.0367697	0.9076325	0.0995936	0.2560319	0.3443661	0.7790349	1.0121732
400	0.1985288	0.4030097	1.0197053	0.0452021	0.8563245	0.0771235	0.2146096	0.3692335	0.7504495	1.0468864
450	0.1524397	0.3757342	1.0270434	0.0561506	0.8445853	0.0699460	0.2538070	0.4223257	0.7800353	0.9632861
500	0.1554511	0.4205087	1.0069920	0.0434153	0.8449330	0.0810990	0.2734638	0.4152223	0.7755270	1.0339327
550	0.1777987	0.3280409	0.9499649	0.3973822	0.5436011	0.1041225	0.7618076	0.6909780	0.6161045	0.9438716
600	0.1655835	0.3187411	0.8934964	0.5659096	0.2714016	0.2234456	0.8867579	0.7448499	0.6197272	0.9798896
650	0.1937570	0.3919466	0.8157305	0.8037596	0.2339501	0.3958920	0.9811086	0.8063889	0.5038820	0.9429016
700	0.2416778	0.4304924	0.6944303	0.8981413	0.2031110	0.4719861	0.9730179	0.7478892	0.5527505	0.9353235
750	0.2507015	0.5245870	0.5626260	0.9201216	0.2381598	0.4364898	0.9878726	0.7784051	0.5672575	0.8886160
800	0.2590180	0.6780528	0.4982188	1.0458317	0.2930748	0.5192603	0.9243701	0.6934253	0.5853511	0.9473556
850	0.3670036	0.7893295	0.4287424	1.0518800	0.3017769	0.5418316	0.9875329	0.7064368	0.5134392	1.0680609
900	0.4770158	0.8801775	0.4240048	0.9556896	0.3034871	0.5518281	1.0091192	0.7256442	0.5710367	0.9898150
950	0.4541793	0.8532033	0.3971758	1.0162187	0.3210317	0.5678954	1.0357853	0.7084187	0.5950134	1.0495314
1000	0.4595984	0.8113922	0.4094743	0.9316769	0.2820575	0.4839874	1.0494210	0.6886440	0.5718129	0.9844502

0	0.5794247	0.8375578	0.4661848	0.9524234	0.3320366	0.4769083	0.9908491	0.7721147	0.6035644	0.9992969
50	0.5976639	0.8686221	0.1608967	0.9523543	0.3339262	0.4978478	0.9839275	0.7738022	0.4611896	0.3472351
100	0.6220118	1.0242080	0.0776171	0.8711081	0.3110468	0.4958865	0.9762018	1.0410093	0.3341770	0.1845268
150	0.5946699	1.1184298	0.0457662	0.9429279	0.2751979	0.5680941	0.9537050	0.9462066	0.2349230	0.1127871
200	0.6375260	1.0302296	0.0287115	0.9221609	0.2589175	0.5154429	0.9592061	1.0212150	0.1511528	0.1032999
250	0.6833380	1.0533820	0.0200655	0.8925302	0.2665079	0.5356451	0.9502860	0.9628755	0.1218569	0.0933944
300	0.7097031	0.9869365	0.0301343	1.0280195	0.3468929	0.5672633	1.0441495	0.9576539	0.0763458	0.1048911
350	0.6796935	1.0430387	0.0099579	0.9530170	0.3384480	0.5381404	0.9849773	0.8853605	0.0914447	0.0839332
400	0.7230265	1.0548945	0.0249552	0.9839447	0.2951122	0.5218063	0.9956397	0.9449164	0.0734009	0.0846177
450	0.7250892	0.9711064	0.0345164	0.9528977	0.3768170	0.5785743	0.8987211	0.9754999	0.0434829	0.0842654
500	0.7007020	1.0499439	0.0240341	0.8583663	0.3190956	0.5196021	0.9490984	1.0590640	0.0630921	0.0895453
550	0.7243678	0.9209550	0.3535665	0.9393411	0.2652992	0.5368378	0.9716891	0.9582557	0.1421907	0.7146278
600	0.6614617	0.9475355	0.4605797	0.9743777	0.2946052	0.5715451	1.0330935	0.9587135	0.3491809	0.9890125
650	0.6570057	0.8220397	0.4562925	0.9201682	0.2669403	0.5289778	1.0892110	0.8296062	0.3938454	0.9722677
700	0.6135891	0.8373898	0.4709024	0.9110920	0.2607495	0.5205964	1.0357558	0.7479220	0.5018093	0.9787841
750	0.6110151	0.9143256	0.4824314	0.9500087	0.2591451	0.5423306	0.9399529	0.7960894	0.5260032	1.0097482
800	0.6082970	0.8414165	0.4337506	0.9358570	0.2645552	0.5205072	1.0816727	0.7963114	0.5613858	1.0242225
850	0.5537397	0.9560170	0.4526312	1.0092402	0.3312096	0.4856165	1.0594997	0.7737702	0.5810711	0.9633141
900	0.5747956	0.8295906	0.4470045	0.9711428	0.2927788	0.5816320	0.9280228	0.7552972	0.5573791	0.9541218
950	0.6560851	0.8617897	0.3907430	0.9409204	0.3153125	0.6044022	0.9833947	0.7791366	0.5905675	0.9487613
1000	0.6369660	0.8282915	0.4668213	0.8718324	0.2894783	0.5955723	1.0414270	0.8117366	0.5986842	0.9583691

