YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.9328279	0.8187173	0.8287392	0.7046311	0.4673403	0.0389492	0.8316282	0.9505321	0.2862217	1.1246850
0.8415625	0.7222307	0.5122345	0.1552552	0.0405731	0.0652792	0.7813640	0.3624903	0.7461673	0.5424820
1.0124162	0.8807996	0.6749568	0.4514560	0.2960504	0.1012557	0.7355580	1.0325943	0.3088507	1.0797269
0.9907979	0.9869940	0.8978863	0.8781605	0.5769150	0.1024706	0.7921806	1.0755238	0.3547537	0.9856854
0.8700543	1.0577555	0.3152108	0.1270003	0.0487988	0.0151186	0.9798313	0.8496791	0.3745363	0.5219043
0.9486618	0.9001465	0.5175865	0.1668408	0.1091841	0.0735043	0.8982635	0.7557551	0.4346741	1.0534294
0.8400289	0.9683565	0.8017232	0.9639539	0.8094810	0.1321044	0.9431563	0.8280093	0.4329133	0.9820303
0.9141322	0.6046362	0.2265200	0.0714772	0.1269652	0.1038117	0.9353604	0.8843865	0.4017599	0.7391936
0.9177064	1.0159685	0.8097637	0.9328208	0.8724207	0.3908710	0.2844592	0.8895030	0.3613948	0.9410622
1.0283253	0.7733812	0.6901879	0.6940511	0.5094095	0.2240177	0.4267431	0.6440605	0.3814588	1.0465527
