YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.5820468	0.4463828	0.0629166	0.3489188	0.2902794	0.4034217	0.9995147	0.0492828	0.9749261	0.1193958
0.7132752	0.3848607	0.7710975	0.0210238	0.1010156	0.4246028	0.8722148	0.5175468	0.7468148	0.1889524
0.4766678	0.3328164	0.8312147	0.0703802	0.1742123	0.4795113	0.8479458	0.3618704	0.7813325	0.3750270
0.6265849	0.2705822	0.9113605	0.0380948	0.1540545	0.5460704	0.6084724	0.3853636	0.8412074	0.3351767
0.9163439	0.2200676	0.9007907	0.0509967	0.1755615	0.5821258	0.5878035	0.3425441	0.4857017	0.1583352
0.2533470	0.7955237	0.0252589	0.4978489	0.3586512	0.4032163	0.9999890	0.0137657	0.7514086	0.0545346
0.0519149	0.9983729	0.0260220	0.7154842	0.4504881	0.6416645	0.5521012	0.0918972	0.8014873	0.3608090
0.1283931	0.9060391	0.0704659	0.3412841	0.2612463	0.4109414	0.9823914	0.1662822	0.6848365	0.4369326
0.2256334	0.8594939	0.0570797	0.2758454	0.1238891	0.4852336	0.7842686	0.4101816	0.9457818	0.2069884
0.0735462	0.9970411	0.0346822	0.5732594	0.3860204	0.2866482	0.9958633	0.1015932	0.8841628	0.2970565
