YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000000	0.2873544	0.5024116	0.5484182	0.7961074	0.0923383	0.3357187	0.0675654	0.0737507	0.9998055
0.3586516	0.0000000	0.0370140	0.2388654	0.8962797	0.0890328	0.0521612	0.0650685	0.0927699	1.0197399
0.2415837	1.0777193	0.0000000	0.4668426	0.8537693	0.1367941	0.0096132	0.0659562	0.0669284	0.9307476
0.2919540	0.9742959	0.0235569	0.0000000	0.8954948	0.1509230	0.0340035	0.0931089	0.0686688	1.0050592
0.3754401	0.3654324	0.5234825	0.6778239	0.0000000	0.1381911	0.3345936	0.0635683	0.0722362	1.0682356
0.0704861	0.3617593	0.5555932	0.6463696	1.0210937	0.0000000	0.2518581	0.0713780	0.0689050	0.9725264
0.3012564	1.0122040	0.1595195	0.4119003	0.7687228	0.1294188	0.0000000	0.0532051	0.0494782	1.0911615
0.2933514	0.6828156	0.2205477	0.3436619	0.9463644	0.0783971	0.2199115	0.0000000	0.0849016	1.0192250
0.2746665	0.9785303	0.0692412	0.3989762	0.8718801	0.1346080	0.1046694	0.0623882	0.0000000	1.0970816
0.3680912	0.9599986	0.1002733	0.3062685	0.2722388	0.8970152	0.0192949	0.7262529	1.0376311	0.0000000
