YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0824506	0.4365581	0.5529524	0.5340580	0.6223335	0.1341421	0.2811599	0.2713088	0.1958157	0.1847949
0.5600342	0.8425308	0.7366807	0.9098799	0.1470281	0.5341831	0.3867875	0.4852326	0.6036839	0.8841162
0.2085698	0.2186490	0.5341220	0.3261605	0.8155870	0.0262672	0.1101740	0.0035057	0.0096408	0.0672034
0.3824050	0.6786910	0.7988194	0.3891545	0.8461032	0.1819560	0.0201861	0.0658445	0.0370401	0.1941417
0.0023720	0.0003820	0.1384386	0.3862922	0.8011788	0.0640934	0.2495446	0.2568681	0.0794746	0.2171522
0.1700069	0.5892317	0.6775566	0.4668588	0.5956623	0.2184965	0.0035817	0.0671952	0.1970648	0.3032752
0.3419386	0.7413325	0.6995696	0.5001550	0.6801408	0.0635367	0.0788674	0.2864274	0.0286665	0.1705007
0.4799103	0.6630943	0.7200582	0.4405127	0.6492130	0.1004942	0.0737780	0.2283142	0.1523557	0.2048336
0.2395556	0.7868514	0.7735659	0.5740533	0.6993558	0.0034651	0.0000272	0.0004804	0.0086416	0.1697314
0.4533560	0.6120809	0.7498833	0.6969147	0.3669454	0.1926378	0.2081705	0.4677147	0.5927452	0.3625881
