YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000002	0.6661619	0.0447023	0.8982722	0.0851476	0.2974264	0.9875780	0.8803841	0.8165023	0.2231190
0.0430439	0.0000000	0.0447022	0.8982723	0.0851476	0.2974262	0.9875783	0.8803976	0.8165245	0.2230998
0.4010419	0.6678457	0.0000018	0.8982730	0.0851474	0.2974255	0.9875795	0.8804542	0.8166171	0.2230194
0.3563835	0.5998417	0.0486107	0.0000000	0.7252089	1.0000000	0.8454979	0.9229096	0.9375760	0.1568773
0.4263893	0.7081971	0.0447138	0.8980784	0.0000000	0.2976842	0.9869196	0.8422148	0.7446913	0.2775433
0.4025581	0.6704749	0.0446951	1.0000000	0.0702355	0.0000004	0.9879744	0.8769346	0.8086328	0.2282526
0.1328467	0.2677563	1.0000000	0.3326587	0.7252096	1.0000000	0.0000000	0.9229343	0.9376077	0.1568428
0.3193641	0.5455441	0.1496071	0.5571341	0.3546721	0.6633386	0.4551138	0.0000000	0.8980937	0.1755248
0.5775025	0.9869604	0.0759185	0.6830708	0.2080398	0.5292348	0.5988334	0.0251358	0.0000000	1.0000000
0.3357390	0.5696035	0.0446868	0.8985286	0.0850797	0.2970811	0.9884570	0.9376409	1.0000000	0.0000000
