YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.5532419	0.3326564	0.6565014	0.6525597	0.4599789	0.2797132	0.4493118	0.4613169	0.3842619	0.7166060
0.5261095	0.4141548	0.7618860	0.5398546	0.2610238	0.5633233	0.2511065	0.4835223	0.3794942	0.6962895
0.6482016	0.1551783	0.8752068	0.7025503	0.5691385	0.1477418	0.7941991	0.1793533	0.6954399	0.5489057
0.5910236	0.4264425	0.6692741	0.6702332	0.4597140	0.1443203	0.4803179	0.3832670	0.4646187	0.7941968
0.5455565	0.2517833	0.7818612	0.7455901	0.2962125	0.5341371	0.2187455	0.4398306	0.4848160	0.7101482
0.4074614	0.3463466	0.6597039	0.6899734	0.5861296	0.1792838	0.6804901	0.3598727	0.4847323	0.6013851
0.3860651	0.3210608	0.8865712	0.6317391	0.6274750	0.1170843	0.7508742	0.1737963	0.5513614	0.7870416
0.4339903	0.3767254	0.7731649	0.7676835	0.5933834	0.3406631	0.3835104	0.4101687	0.4512431	0.4713569
0.4628797	0.2820479	0.6790599	0.7072734	0.3387708	0.2170779	0.3463418	0.4892050	0.4782349	0.8205166
0.5983733	0.2965022	0.6775267	0.6564067	0.6278297	0.2120614	0.5365763	0.2675641	0.3439735	0.5936142
