YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0432994	0.9413987	0.0329131	0.9662553	0.8229428	0.7809051	0.8003472	1.0000000	0.7721887	1.0000000
0.1509162	0.4706995	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7721885	1.0000000
0.0860224	0.9813167	0.0164566	0.9662553	0.8229428	0.7809051	0.8003472	1.0000000	0.7721887	1.0000000
0.0870272	0.9162493	0.0412273	0.4809570	0.8050697	0.7809051	0.8003472	1.0000000	0.5132613	1.0000000
0.9979066	0.0652452	0.9996910	0.0329254	0.1591886	0.7809051	0.8003472	1.0000000	0.0832843	1.0000000
0.0865967	0.9414792	0.0328824	0.9876732	0.9851112	0.3904552	0.8003472	1.0000000	0.7785557	1.0000000
0.0865970	0.9414523	0.0328926	0.9803175	0.9069992	0.6404256	0.4001738	1.0000000	0.7763625	1.0000000
0.0865968	0.9414592	0.0328907	0.9815692	0.9174457	0.6191571	0.3650154	0.5000000	0.7767832	1.0000000
0.0865977	0.9413986	0.0329131	0.9662553	0.8229427	0.7809051	0.8003472	1.0000000	0.3861143	1.0000000
0.0865977	0.9413986	0.0329131	0.9662553	0.8229427	0.7809051	0.8003472	1.0000000	0.7721885	0.5000300
