YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.0000000	0.2641765	0.1416683	0.9815946	0.1775346	0.2542814	0.0298124	0.1324202	0.0745401	1.0000000
0.9858650	0.0000021	0.5130652	0.2532350	0.9656834	0.8670968	0.1687675	0.5607869	0.0745401	1.0000000
0.9858654	0.1293916	0.0000029	0.2532351	0.9656826	0.8670937	0.1687670	0.5607868	0.0745401	1.0000000
0.9858654	0.1293916	0.5130616	0.0000048	0.9656826	0.8670937	0.1687670	0.5607868	0.0745401	1.0000000
0.8641419	0.1232449	0.5913252	0.9999998	0.0000000	0.9762404	0.4402795	0.0583469	0.0745401	1.0000000
0.8641442	0.9999989	0.1249904	0.9992325	0.0638136	0.0000000	0.4402534	0.0730907	0.0745401	1.0000000
1.0000000	0.4705007	0.1261803	0.9990964	0.0668317	0.1056683	0.0000000	0.0742621	0.0745401	1.0000000
0.8642143	0.1232449	0.5913246	0.2468641	0.9790276	0.9762312	0.4403115	0.0000000	0.0745401	1.0000000
0.9949904	0.1382793	0.4203464	0.2678216	0.9374349	0.7481396	0.1109915	0.6360116	0.0000000	1.0000000
0.8641616	0.1232450	0.5913238	0.2468632	0.9790275	0.9762372	0.4402923	0.0716075	1.0000000	0.0000000
