YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.5844699	0.7125165	0.3955492	0.9499942	0.1497305	0.7215823	0.9249246	0.7197503	0.5400980	0.9630749
0.3241099	0.6004676	0.5313756	0.5395530	0.2059030	0.3488940	0.7386468	0.7068023	0.4379561	0.7750795
0.3030252	0.6185901	0.4187025	1.0090656	0.1955279	0.4935968	0.9494277	0.7370069	0.4487456	0.7935522
0.4592067	0.6214896	0.6225131	0.6320160	0.5307596	0.8077822	1.0374128	0.7267432	0.5650468	1.1151750
0.6123509	0.7429338	0.4323077	0.7425941	0.5765478	0.5776134	1.0358289	0.8413262	0.7169057	1.0129742
0.5483632	0.8842021	0.3347721	0.9717991	0.1537708	0.5735231	0.9246628	0.7620857	0.5431092	1.0522533
0.4190883	0.6172995	0.4026593	0.9847010	0.1507950	0.3754024	0.9599286	0.7825527	0.4510977	0.6506046
0.6010818	0.9017875	0.4179680	0.6672584	0.2330449	0.4622451	0.8999634	0.4966352	0.5733935	1.0529261
0.3633917	0.5477679	0.7833328	0.5175554	0.2237215	0.4648800	0.9482869	0.6285095	0.5622903	0.9808736
0.4650336	0.7240321	0.6416538	0.6026423	0.5028726	0.4402097	0.9108077	0.7211841	0.4969783	0.9231736
