YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000001	0.0556224	0.4334466	0.7656461	0.9994996	0.0122689	0.9374263	0.9328087	0.6958685	0.6503893
0.0720143	0.0000000	0.4334465	0.7656461	0.9994996	0.0122689	0.9374262	0.9328086	0.6958687	0.6503895
0.1266053	0.0453942	0.0000000	0.7700662	0.9968394	0.0298261	0.5810877	0.5874907	0.4182717	0.8815835
0.1266164	0.0453942	0.9999954	0.0000001	0.9995045	0.0122049	0.9420798	0.9477233	0.7380461	0.6134878
0.1328663	0.0495508	0.3544045	0.9953052	0.0000047	0.0123405	0.9323495	0.9178755	0.6632246	0.6792625
0.1421396	0.0556275	0.4335072	0.7654908	0.9999983	0.0000000	0.9374270	0.9328130	0.6958863	0.6503800
0.1421032	0.0556154	0.4334751	0.7655093	0.9999862	1.0000000	0.0000004	0.9327841	0.6958661	0.6504427
0.1420974	0.0556132	0.4334685	0.7655131	0.9999835	1.0000000	0.0025141	0.0000000	0.6958611	0.6504530
0.1418508	0.0554458	0.4317424	0.7697971	0.9999967	1.0000000	0.0025141	0.0322333	0.0000000	1.0000000
0.2156133	0.1024710	0.8375446	0.1799297	0.9994639	0.0126729	0.9104037	0.8651261	0.5861408	0.0000000
