YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.5768794	0.6720358	0.1450162	0.3184447	0.9142611	0.2079576	0.4060634	0.1800033	1.0107912
0.1011395	0.0000000	0.7463850	0.1573055	0.2911371	0.9611743	0.2785353	0.3889155	0.2070876	1.0426058
1.0502405	0.7914450	0.0000000	0.7040745	0.9880915	0.9712219	0.0465275	0.8273527	0.2138526	1.1024071
0.9714899	0.5086520	0.6825701	0.0000000	0.2974877	0.8672014	0.1856453	0.3596774	0.1706247	1.0353902
0.9497758	0.6340551	0.0238764	0.0016791	0.0000000	0.9824966	0.2993171	0.3290828	0.2228653	1.0356670
0.0922714	0.0743269	1.0000422	0.6880385	1.0181976	0.0000000	0.0449846	0.8880949	0.1435362	1.0221477
0.1144034	0.0484648	1.1026164	0.5866798	0.8501461	0.1320267	0.0000000	0.7558329	0.1792738	1.0113312
0.1246160	0.8455731	0.6494348	0.1323356	0.3082745	1.0594500	0.9725751	0.0000000	0.4300721	1.0433011
0.8793382	0.3961856	0.8383155	0.1961560	0.3072043	0.7805440	0.1933995	0.3935842	0.0000000	1.0368009
0.9279360	0.6475949	0.6343604	0.1407206	0.3339636	0.9811040	0.5876354	0.2277069	0.5945310	0.0000000
