YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.8383758	0.1141954	0.6292785	0.4341258	0.2146147	0.0389743	0.5457258	0.1715917	0.6549520	0.8024260
0.4339406	0.7130776	0.1104474	0.1163385	0.1595789	0.2129609	0.1833075	0.5140635	0.5367705	0.5117511
0.2804862	0.7524245	0.1231851	0.0751567	0.0388486	0.0717877	0.2955996	0.5430474	0.7742501	0.8699005
0.4359470	0.7099254	0.1943600	0.0536103	0.0015008	0.0009548	0.3675765	0.3870782	0.6587650	0.7064387
0.3983973	0.7244079	0.0284071	0.0056554	0.0179922	0.1216949	0.3376309	0.4963813	0.8347106	0.6827073
0.8041508	0.0828013	0.4512717	0.4425507	0.3921023	0.0951467	0.3074964	0.3632898	0.7193325	0.8501570
0.7263747	0.2127805	0.3615870	0.2765252	0.2238001	0.1314628	0.3574707	0.2815052	0.6319725	0.6651857
0.3756292	0.7097259	0.1769210	0.0620642	0.1005086	0.2264897	0.3219360	0.3936704	0.5921685	0.4344549
0.5422665	0.2540462	0.5197866	0.0784518	0.0397562	0.1503205	0.5156840	0.1388009	0.6619812	0.8103257
0.7324690	0.2614659	0.3447537	0.0897212	0.0656083	0.2342242	0.3228705	0.3374508	0.7059407	0.5467975
