"Time"	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C

0	0.0734491	0.0867265	0.3531239	0.2118070	0.5288457	0.6962484	0.6355672	1.0486011	0.2882041	0.9081613
50	0.1087115	0.1010928	0.2921359	0.1741344	0.3911292	0.7422714	0.6246604	0.9560965	0.3101542	0.9469240
100	0.1224777	0.0897212	0.2834872	0.0645178	0.4154196	0.6790752	0.6463294	0.9580216	0.2883062	0.9745550
150	0.0949701	0.1044370	0.4111040	0.0342367	0.4363574	0.6805508	0.6175544	0.9899414	0.2833601	0.8763833
200	0.1017729	0.1411826	0.5415473	0.0130110	0.5253506	0.6935451	0.6217051	0.9014211	0.3449311	0.9158840
250	0.1184027	0.2843621	0.5824015	0.0053653	0.3560707	0.6495144	0.5860059	0.9981316	0.3244099	0.9107757
300	0.2706323	0.3677773	0.6294558	0.0068219	0.2348051	0.6215022	0.5479804	0.9791784	0.2678880	1.0338594
350	0.4150882	0.4781880	0.6612898	0.0013238	0.1986384	0.5904739	0.5760148	0.9353884	0.2394352	0.9990458
400	0.5456669	0.4668050	0.6468779	0.0046433	0.1732534	0.5708511	0.5928245	0.9213008	0.2129811	1.0732794
450	0.6736413	0.5157241	0.6458666	0.0051406	0.1856953	0.6257448	0.5658828	0.9449854	0.1934949	1.0476052
500	0.7250987	0.5852400	0.7028729	0.0132830	0.2089562	0.5769492	0.5260651	0.9159079	0.1935907	1.1210186
550	0.8543708	0.6398463	0.7196657	0.3032935	0.1692909	0.5217643	0.4714566	1.0355663	0.1823897	1.1759346
600	0.9135933	0.5233945	0.5180829	0.5047007	0.1818569	0.5032564	0.5558368	1.0597132	0.2029641	1.1242767
650	0.7230259	0.4221489	0.3568398	0.6284615	0.1760386	0.5363358	0.5693988	0.9928191	0.2174879	1.1534008
700	0.5254216	0.2812204	0.2749225	0.7000521	0.1822556	0.5446872	0.5299828	0.9186852	0.2323693	1.0212226
750	0.2604760	0.1535484	0.1474101	0.5962305	0.2132970	0.5536651	0.6579098	0.9585661	0.2085883	1.0493632
800	0.1594850	0.0775553	0.1184800	0.5541186	0.2328520	0.6932391	0.6560820	1.0226401	0.2080693	1.0815855
850	0.1220360	0.0795752	0.1198803	0.4772918	0.3729949	0.7220415	0.6097602	1.1842945	0.1945187	0.9751940
900	0.0931583	0.0414279	0.1199117	0.4450400	0.4770221	0.6766932	0.5702786	1.0419227	0.2302269	0.9481313
950	0.1355267	0.0512799	0.1636227	0.2959467	0.6175378	0.5894840	0.5245692	1.0321533	0.3109200	0.9702890
1000	0.0824701	0.0452630	0.1953156	0.2330641	0.6684413	0.4903705	0.5753986	0.9858512	0.2831602	1.0132956

0	0.0734491	0.0867265	0.3531239	0.2118070	0.5288457	0.6962484	0.6355672	1.0486011	0.2882041	0.9081613
50	0.1436322	0.2663417	0.2849357	0.2046601	0.3695929	0.6120106	0.5747477	0.9859333	0.2951636	0.9657084
100	0.3332866	0.4687613	0.3684155	0.1395875	0.2638598	0.5956979	0.5996094	1.0352463	0.2630534	0.9581973
150	0.5120609	0.4435736	0.4610894	0.1010670	0.2641001	0.5250457	0.6567731	0.9606421	0.2711820	1.0129768
200	0.6236082	0.5699154	0.6222784	0.1125874	0.1679797	0.5787227	0.6207002	1.0077217	0.2332938	0.8994254
