YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.4672277	0.3183382	0.7422917	0.8974061	0.4372965	1.0200562	0.2304971	1.0237703	0.0013407	1.1657840
0.4565785	0.4178826	0.4864696	1.1279949	0.3000650	1.0312153	0.2512776	0.9160644	0.0022520	0.7555813
0.1850214	0.2022118	0.8209656	1.0251478	0.2410395	1.0486310	0.2245888	0.9804813	0.1263917	1.0748692
0.4640762	0.4216198	0.6769499	0.7131583	0.2634716	0.4109988	0.1343169	0.9963148	0.0935147	0.8610061
0.6476867	0.5715453	0.5456098	0.9680790	0.2424374	0.7795268	0.1290953	0.9903151	0.1099936	0.9452726
0.3698213	0.8861976	0.4184050	0.8297875	0.2857015	1.1118397	0.3142333	0.9060086	0.1261161	1.1229756
0.1594652	0.2824826	0.7258826	0.8101741	0.4279573	0.6901186	0.2291697	1.0850119	0.0539854	1.0208291
0.2889541	0.6249169	0.3277223	0.9398059	0.2156826	0.8980399	0.1898809	0.9888302	0.0820732	0.8428683
0.4610767	0.5172345	0.6133450	0.7290653	0.2140376	0.6744669	0.2600885	0.8288763	0.0005117	1.1107980
0.1181592	0.1620346	0.8094570	0.9562670	0.2392832	0.8973233	0.1755269	1.0349140	0.0028117	1.1184320
