YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0000000	0.0733080	0.3253455	0.2492512	0.5379629	0.6428540	0.6156002	1.0000000	0.3151510	0.9971370
0.0837259	0.0000000	0.3866818	0.2149465	0.6095041	0.6428540	0.6156002	1.0000000	0.3497696	1.0000000
0.0837304	0.0148136	0.0000000	0.2154168	0.6083827	0.6428540	0.6156002	1.0000000	0.3492209	0.9999946
0.9216329	0.8681664	1.0000000	0.0000000	0.1438729	0.6428540	0.6156002	1.0000000	0.2891286	0.9873331
0.0837307	0.0149998	0.0786180	1.0000000	0.0000000	0.6428540	0.6156002	1.0000000	0.1569983	0.9999997
0.0912281	0.0434007	0.2303884	0.2553181	0.8014368	0.0000000	0.6156002	1.0000000	0.3142059	0.9939027
0.1074085	0.0627403	0.2114289	0.3220555	0.6324070	0.0148928	0.0000000	1.0000000	0.2706302	0.9891608
0.1936493	0.1382992	0.2375658	0.3774783	0.4045955	0.0148928	0.0100982	0.0000000	0.2498645	0.9809135
0.0850892	0.0733080	0.3253455	0.2492512	0.5379629	0.6428540	0.6156002	1.0000000	0.0000000	1.0000000
0.0850892	0.0733080	0.3253455	0.2492512	0.5379629	0.6428540	0.6156002	1.0000000	0.6262786	0.0000000
