YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.1733952	0.6198314	0.4006218	0.7482152	0.6425798	0.7117428	0.4688995	0.6611481	0.8820486	0.5705506
0.3420087	0.3916149	0.4562068	0.7424306	0.5985928	0.6817928	0.7542591	0.7384474	0.5123300	0.6969550
0.3803917	0.3780185	0.5312749	0.6414381	0.5942164	0.6220068	0.7650284	0.5022313	0.5095078	0.5319673
0.3378935	0.5104301	0.4554009	0.7744026	0.7260949	0.7525191	0.4911539	0.4751700	0.8428520	0.5448096
0.1916424	0.6401699	0.4740248	0.7888548	0.6360772	0.7762730	0.6535335	0.8143184	0.5626346	0.6912821
0.2248396	0.5474340	0.5036108	0.6191102	0.7269432	0.6883368	0.6325731	0.8249604	0.6686791	0.4868655
0.4152357	0.3727914	0.5498141	0.7297652	0.9199764	0.6790174	0.7928279	0.7323178	0.6866611	0.4827196
0.4489729	0.5174159	0.4310905	0.7985565	0.7455785	0.8259122	0.6621472	0.3518546	0.6743105	0.6951329
0.4540551	0.4370810	0.3355968	0.6437131	0.7989721	0.7424945	0.5376853	0.5714857	0.6438116	0.6732678
0.2665617	0.6084594	0.5530793	0.6850186	0.6726946	0.7074158	0.6602452	0.3820795	0.6540712	0.4971312
