YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.2183282	1.0239452	1.0007535	0.1587915	1.0245421	1.0547212	1.0571263	0.9330165	0.9598880	0.9370133
0.0863084	0.5116757	0.1829090	0.1310545	1.1281836	1.0169026	1.0288796	1.0727007	1.0522027	1.0142423
0.3966942	1.1341446	0.5069676	0.1726765	0.9828850	0.9967565	1.0498915	1.0925265	1.0058370	1.0358723
0.3347158	0.9594350	0.6565160	0.0693036	1.0876143	0.9717727	0.9851685	1.0551573	0.9751005	1.0578929
0.4755903	1.0080539	0.9958865	0.2677844	0.4916183	1.0391981	0.9305368	1.1017343	1.0148576	1.0024051
0.2440814	0.8988201	0.8926464	0.1093627	1.0113996	0.5242255	1.1679958	1.0630155	1.1009921	0.9976936
0.3410089	0.9602998	0.9329945	0.1415860	0.9675950	1.0679096	0.5154209	1.0800488	0.9939358	0.9405707
0.3328432	1.0172068	0.8785155	0.1461181	1.0720667	1.0200301	1.0433998	0.4648462	1.0438895	1.0839960
0.3251926	1.0327608	1.0383820	0.1024306	0.9242547	1.0424234	1.0985166	0.9461169	0.5335504	1.0346742
0.3472071	0.9102962	0.8593215	0.1113322	1.0497506	0.9239840	1.1168133	1.0170920	0.9882144	0.4476656
