YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
1.0202818	0.7307637	0.8612639	0.4531822	0.7679935	0.3757611	0.3148605	0.9271637	0.9543979	1.0350137
0.9708231	0.6188361	0.8867637	0.3818239	0.7637182	0.3317309	0.2278131	1.0217426	1.0049770	0.9995738
1.0093040	0.6515087	0.7195021	0.3651389	0.5047973	0.2523894	0.3746768	0.9017522	0.8235965	0.9459949
0.9289795	0.4552651	0.4325986	0.2857904	0.6599596	0.2797905	0.8642231	0.4461138	0.8503146	1.0775174
0.9461029	0.5163229	0.7071767	0.5378491	0.9424627	0.6219383	0.7267506	0.5039143	0.8058248	0.3331609
1.0320887	0.7167942	0.8925171	0.8629380	0.3029577	0.1338078	0.3370898	0.9499509	0.6491735	1.0215833
1.0084424	0.4954430	0.7829392	0.5035629	0.4309393	0.1387230	0.3716534	0.6070200	0.7803142	0.3777213
0.9047540	0.2269697	0.2895459	0.5916179	0.9838509	0.7408157	1.0205206	0.3101710	0.8025847	0.4150627
1.1209822	0.7559185	0.9519622	0.5924049	0.0254660	0.0095310	0.1113233	0.8947127	0.5271113	1.0373508
1.0517061	0.6720705	0.8483945	0.8723596	0.5719300	0.1538546	0.4230386	0.7309573	0.8946015	0.8955571
