"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.0780855	1.1783448	1.1393074	0.0396685	0.3674090	0.8499517	0.5476525	1.0370002	1.0222572	1.0466631
50	0.0651675	1.0316493	0.9930537	0.0122621	0.3291946	0.8193732	0.4734242	1.0162848	1.1007752	1.0501336
100	0.0519607	1.0071564	0.8845575	0.0029147	0.3343368	0.8762105	0.4028971	0.9941833	0.9944363	0.9962864
150	0.0403897	1.0544862	0.8259084	0.0102535	0.2888839	0.8455856	0.3273537	0.9562864	1.0654925	1.0226868
200	0.0708088	1.0650648	0.7815494	0.0048958	0.2555905	0.9885042	0.2673032	1.0785533	1.0774289	1.0101233
250	0.0705425	1.0448508	0.7562924	0.0157222	0.2579345	0.9637524	0.2472681	1.0057682	0.9196133	1.0092066
300	0.0386940	1.0867377	0.8171179	0.0096191	0.2208144	0.9929719	0.2970214	0.9575061	0.9271817	0.8917644
350	0.0599490	1.0309847	0.8467889	0.0012668	0.2455912	0.9415430	0.3346611	0.9630424	0.9779616	0.9103401
400	0.0380011	0.9749513	0.8453900	0.0089831	0.2487169	0.9820690	0.2688238	1.1095593	0.8497535	0.9814839
450	0.0501329	0.9950431	0.7329818	0.0067470	0.1899492	0.9913992	0.2669496	1.0650219	0.9303383	0.9600386
500	0.0616602	1.0802786	0.7547584	0.0049433	0.2603276	0.9981836	0.3388675	0.9132517	0.9781174	1.0340307
550	0.0641759	0.9700860	0.8782298	0.0244065	0.2289977	0.8908490	0.3269833	0.8763092	1.0305023	1.0517453
600	0.0920400	0.8859669	0.8264488	0.0290282	0.2641340	0.8919802	0.4486811	0.8964649	0.9825548	1.0175622
650	0.0956407	0.9953831	0.8814399	0.0264742	0.2614349	0.9441806	0.5211045	0.9480338	1.0248430	1.0147436
700	0.0866361	0.9773188	0.9413116	0.0190770	0.2733900	1.0002325	0.5461494	0.9167607	1.0186098	1.0612084
750	0.0892267	0.9647152	0.9726546	0.0207230	0.2295099	1.0216116	0.5376528	0.9936214	1.0019640	0.9972170
800	0.1121762	0.9624744	0.9821972	0.0210430	0.2764975	0.9121429	0.5327251	0.9895802	1.0784134	0.9406958
850	0.0985611	0.9847777	0.9118054	0.0417990	0.2668269	0.8088034	0.4898171	1.1645231	1.0752503	0.9390823
900	0.0634647	1.1019245	0.9911596	0.0236937	0.2980250	0.9136265	0.5044876	1.1062147	1.0309014	1.0255979
950	0.0703273	1.0847227	0.8805427	0.0156759	0.2489437	0.9337458	0.5106763	1.0355194	1.0104454	0.9373572
1000	0.0811540	1.1277056	0.9069732	0.0256916	0.2204960	1.0061099	0.5094984	1.0622476	1.0051092	1.0981436

0	0.0780855	1.1783448	1.1393074	0.0396685	0.3674090	0.8499517	0.5476525	1.0370002	1.0222572	1.0466631
50	0.0824614	0.9386269	0.9384293	0.2150993	0.2962859	0.5885839	0.5224942	0.9940678	0.8480509	0.9983097
100	0.0983331	0.9731683	0.9301531	0.2793767	0.3895306	0.2850069	0.5451223	0.9924806	0.8825896	1.0155490
150	0.1071516	0.9569511	0.9748725	0.3628191	0.4493872	0.1430077	0.5518570	0.9426081	0.8976669	0.9641979
200	0.0574599	1.0092371	0.9279288	0.4096914	0.5699959	0.1049406	0.5205139	0.8772765	0.8831332	0.9513385
250	0.0790580	0.9202910	0.8874978	0.3857154	0.5507754	0.0833363	0.5150667	0.8868210	0.8159701	0.9892234
300	0.0943751	0.9776028	0.9766125	0.3614181	0.4873529	0.0861847	0.4956222	0.9957903	0.8293659	0.9743029
350	0.1004884	1.0835678	0.9781895	0.4460508	0.5282614	0.0867430	0.4478803	1.0445447	0.9220868	1.0648489
400	0.1119537	1.0615596	0.8508891	0.4066308	0.6052801	0.0761171	0.4976869	0.9076332	0.9331537	1.0373360
450	0.1029339	1.0809130	0.8979359	0.4360638	0.5372728	0.0946317	0.4664083	0.9465194	0.9176539	0.9392491
500	0.0911438	1.1005104	0.7951257	0.4252654	0.5928708	0.0931650	0.5101105	0.9909869	0.9305495	0.9663732
550	0.1085902	1.0177213	0.8674975	0.3369337	0.6235240	0.3661536	0.4997856	0.8714798	0.9682855	1.0195588
600	0.0931399	0.9902506	0.9710546	0.2177933	0.5021953	0.6014889	0.5883080	0.9885887	1.0256638	0.9406359
