YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.9881650	0.0291650	0.1549957	0.9002382	0.2185200	0.8593873	0.5051013	0.8179776	1.0000000
0.2380269	0.0000001	0.0291647	0.1549951	0.9002387	0.2185199	0.8593883	0.5051013	0.8179776	1.0000000
0.2392495	0.9987938	0.0000000	0.2783682	0.9171082	0.2354715	0.6111124	0.7266480	0.8160402	1.0000000
0.2392495	0.9987938	0.0755769	0.0000006	0.9171082	0.2354715	0.6111124	0.7266480	0.8160402	1.0000000
0.2392495	0.9987938	0.0755769	0.2783682	0.0000003	0.2354715	0.6111124	0.7266480	0.8160402	1.0000000
0.2344969	0.9987969	0.0756997	0.2786536	0.0216721	0.0000000	0.6107531	0.7269454	0.8236342	1.0000000
0.7627372	0.9981940	1.0000000	1.0000000	0.9982709	0.9999999	0.0000000	0.6812143	0.3978869	1.0000000
0.2376541	0.0252000	0.0190856	0.1227583	0.8932280	0.2125504	1.0000000	0.0000000	0.8185652	1.0000000
1.0000000	0.0252066	0.0190861	0.1227597	0.8932280	0.2125507	0.9999918	0.0373204	0.0000000	1.0000000
0.9999999	0.9986105	0.0693532	0.2636859	0.9155409	0.2336883	0.6305610	0.7104960	0.5657182	0.0000000
