YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.8621161	0.6309377	0.9999974	0.0000675	0.5753721	0.6929571	0.9997372	0.0104185	0.1976000	1.0000000
0.8648137	0.6290726	0.8199083	0.0169251	0.5073343	0.7407297	0.9568788	0.0104012	0.2082567	0.7350617
0.8311616	0.6634972	0.9925321	0.0648875	0.4672246	0.6087908	0.6136749	0.1812474	0.4349535	1.0000000
0.8755797	0.6168786	0.9999995	0.0003080	0.4277473	0.3476962	0.1976855	0.4180964	0.4624715	1.0000000
0.8312814	0.6639748	0.8795884	0.0646602	0.8958026	0.6764409	0.5268057	0.1514489	0.1313252	1.0000000
0.8552724	0.6380915	0.9925456	0.0648218	0.4993533	0.6321690	0.8174727	0.1013423	0.1636615	1.0000000
0.8269789	0.5339665	0.9360046	0.2205021	0.1029557	0.5108560	0.2568808	0.3271407	0.5543911	1.0000000
0.8780347	0.6144830	0.9983664	0.0278778	0.9922900	0.5787488	0.9571812	0.0677151	0.0826351	0.8290200
0.8312695	0.6640984	0.8304249	0.0000039	0.9632951	0.9306855	0.9983015	0.0205678	0.1457951	1.0000000
0.8706562	0.6219783	0.9976424	0.0341757	0.3794488	0.6659571	0.9295565	0.0045412	0.1366652	1.0000000
