YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0302025	1.0192812	1.0260953	0.0378464	0.3159583	0.8541195	0.5488105	0.9147143	1.0190327	1.0776250
0.5152478	0.4261507	0.9828860	0.0534401	0.5031343	0.8258928	0.5873812	0.8918379	1.0689027	1.0010135
0.0981919	1.0482043	0.4329577	0.0301074	0.2915239	0.9741073	0.5377107	1.0356190	1.0653748	1.0628470
0.0991035	0.9586746	1.0170773	0.0150966	0.2637830	0.9147804	0.5411726	0.9414005	0.9438263	1.1974728
0.0863310	1.1148047	1.0299245	0.0351170	0.1506731	0.9131717	0.5758055	0.9803884	0.9654673	0.9933895
0.0964240	0.9957733	1.0559809	0.0811400	0.5248461	0.4682560	0.4717823	1.0185951	0.9324684	0.9588735
0.0852654	1.0705436	1.0112515	0.0307398	0.2771380	0.9611114	0.2253745	0.8914710	1.0193061	0.9713715
0.0916595	0.9640856	0.9118370	0.0199929	0.3288485	0.7920389	0.7627987	0.5124077	1.0167338	0.9129533
0.1037223	0.9973003	0.9305082	0.1549605	0.2764960	0.9543712	0.5759480	0.9796501	0.5357612	0.9725519
0.1281506	0.9530056	1.0993179	0.0367174	0.3177356	0.9928695	0.4956795	1.0281490	0.9868824	0.5695338
