YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.2633956	0.7223971	0.8378571	0.0449262	0.1069536	0.1799981	0.8574962	0.7293901	0.1273612	0.6628234
0.2509701	0.3774156	0.7843677	0.0506363	0.0762615	0.1412002	0.7224452	0.7879703	0.1219284	0.6506871
0.5283967	0.6210070	0.4387837	0.0545786	0.0844092	0.1948749	0.7607892	0.7287890	0.1015414	0.7624168
0.4065567	0.9263659	0.6740941	0.0245358	0.0742663	0.1419382	0.6733515	0.7111720	0.0651261	0.7545427
0.5159958	0.7982552	0.7818185	0.0939409	0.0340359	0.1122171	0.7244814	0.7533374	0.0838035	0.6975803
0.5671310	0.7477370	0.7454118	0.1068810	0.2833636	0.1039599	0.7550330	0.6635067	0.0873380	0.9168810
0.4808138	0.7494426	0.9004354	0.0545117	0.0863877	0.6414912	0.3327652	0.8217523	0.1125979	0.6303341
0.6468878	0.8418025	0.7690028	0.0709071	0.0867276	0.1123901	0.6474517	0.3631753	0.0910030	0.8492510
0.4834733	0.7817655	0.8009938	0.1567029	0.0680671	0.1689163	0.6696325	0.7185926	0.0659954	0.7633139
0.5472316	0.7517447	0.7630969	0.0257360	0.0820861	0.1168665	0.7943738	0.7933341	0.1317499	0.3887190
